step,train_loss,train_accuracy,jaccard index(JA),dice coefficient(DI),Accuracy(AC),sensitivity(SE),specificity(SP)
0,0.5630128383636475,0.0,0.0,0.0,0.0,0.0,0.0
1,0.5618584752082825,0.0,0.0,0.0,0.0,0.0,0.0
2,0.5596543550491333,0.0,0.0,0.0,0.0,0.0,0.0
