step,train_loss,train_accuracy,jaccard index(JA),dice coefficient(DI),Accuracy(AC),sensitivity(SE),specificity(SP)
0,0.6037071347236633,0.0,0.0,0.0,0.0,0.0,0.0
1,0.6053740978240967,0.0,0.0,0.0,0.0,0.0,0.0
2,0.5630128383636475,0.0,0.0,0.0,0.0,0.0,0.0
0,0.6566190123558044,0.0,0.0,0.0,0.0,0.0,0.0
1,0.5849153995513916,0.0,0.0,0.0,0.0,0.0,0.0
2,0.5618584752082825,0.0,0.0,0.0,0.0,0.0,0.0
0,0.43907076120376587,0.0,0.0,0.0,0.0,0.0,0.0
1,0.5882045030593872,0.0,0.0,0.0,0.0,0.0,0.0
2,0.5596543550491333,0.0,0.0,0.0,0.0,0.0,0.0
