step,train_loss,train_accuracy,test_loss,test_accuracy
103,0.8639928102493286,0.7158200144767761,1.0358593463897705,0.6383
104,0.8725259900093079,0.712440013885498,1.131432056427002,0.6079
105,0.8145309686660767,0.7334200143814087,1.0292234420776367,0.6414
106,0.8568776845932007,0.7192400097846985,1.0409512519836426,0.6403
107,0.8673728704452515,0.7184600234031677,1.0164657831192017,0.6497
108,0.8518697619438171,0.7200199961662292,0.9822479486465454,0.6597
109,0.8630846738815308,0.7178800106048584,0.9356521368026733,0.6789
110,0.8721342086791992,0.7140399813652039,1.032975196838379,0.6439
111,0.810108482837677,0.7355599999427795,0.9251466989517212,0.679
112,0.855797290802002,0.7209799885749817,1.0069680213928223,0.6505
113,0.8183671832084656,0.7344800233840942,0.9219892621040344,0.6768
114,0.7977105379104614,0.7389600276947021,0.9147003889083862,0.6876
115,0.8104783296585083,0.7350000143051147,0.9573679566383362,0.6708
116,0.828393280506134,0.7290599942207336,0.9463523626327515,0.6744
117,0.8235491514205933,0.7290999889373779,0.9809322953224182,0.659
118,0.7740747928619385,0.7489399909973145,1.0211215019226074,0.6538
119,0.8261057734489441,0.7314000129699707,0.9805429577827454,0.6632
120,0.7939120531082153,0.7396799921989441,0.9892111420631409,0.6602
121,0.8090932965278625,0.7374799847602844,1.0150028467178345,0.6522
122,0.8195589184761047,0.7341799736022949,0.9939279556274414,0.6533
123,0.8130568265914917,0.7371799945831299,0.9139817357063293,0.683
124,0.7615441083908081,0.7516999840736389,1.0398313999176025,0.653
125,0.7595611214637756,0.7554200291633606,1.0726218223571777,0.6351
126,0.7802267670631409,0.7490800023078918,0.9599156379699707,0.6723
127,0.7880352139472961,0.7428200244903564,0.9365665912628174,0.6768
128,0.7492345571517944,0.757420003414154,0.9680494070053101,0.6717
129,0.7909952402114868,0.7431399822235107,0.8986240029335022,0.6882
130,0.8021151423454285,0.741100013256073,1.0174061059951782,0.6554
131,0.7182860374450684,0.7691199779510498,0.9836639761924744,0.668
132,0.7386602163314819,0.7605000138282776,0.9053933620452881,0.6853
133,0.7403658628463745,0.7609000205993652,0.9430677890777588,0.6753
134,0.7586968541145325,0.7540199756622314,0.944395124912262,0.6803
135,0.7616177201271057,0.7511399984359741,1.0413793325424194,0.6508
136,0.7702956199645996,0.752020001411438,0.9054334163665771,0.6889
137,0.7672257423400879,0.7483400106430054,0.9462541937828064,0.6815
138,0.7457059621810913,0.7587800025939941,0.8818279504776001,0.6971
139,0.7218685150146484,0.76555997133255,0.9543442130088806,0.6743
140,0.7762113213539124,0.7454599738121033,0.8873922824859619,0.6958
141,0.7709235548973083,0.7525799870491028,1.067877173423767,0.6418
142,0.7091785669326782,0.7745400071144104,0.9985556602478027,0.6665
143,0.6865500211715698,0.7828999757766724,1.0515564680099487,0.6527
144,0.6929854154586792,0.7764800190925598,0.8838539123535156,0.6982
145,0.6815055012702942,0.7801200151443481,0.8962181806564331,0.6985
146,0.7074716687202454,0.7696599960327148,0.9429683685302734,0.6837
147,0.6866235733032227,0.7797600030899048,0.9641528129577637,0.6726
148,0.7062669992446899,0.772379994392395,0.867959201335907,0.7065
149,0.683238685131073,0.7790399789810181,0.8672376871109009,0.6995
150,0.6565804481506348,0.7891200184822083,1.015242099761963,0.6594
151,0.6532078981399536,0.7887200117111206,0.8649250268936157,0.712
152,0.6911321878433228,0.7773000001907349,1.030801773071289,0.658
153,0.679067850112915,0.7855200171470642,0.874789834022522,0.6978
154,0.7089582681655884,0.7721999883651733,0.9836456775665283,0.6634
155,0.6846300363540649,0.7820799946784973,1.0160707235336304,0.6643
156,0.6789140105247498,0.7845399975776672,0.9873940348625183,0.6744
157,0.642379641532898,0.7953400015830994,0.9424089789390564,0.6851
158,0.6260851621627808,0.7998600006103516,0.8660392761230469,0.7051
159,0.7039173245429993,0.7748000025749207,0.9397932887077332,0.6815
160,0.6410906910896301,0.7954000234603882,0.9173843860626221,0.6917
161,0.6587270498275757,0.7902399897575378,0.9956930875778198,0.6696
162,0.6363008618354797,0.7979400157928467,0.945632815361023,0.6858
163,0.6142288446426392,0.8093400001525879,0.9969127178192139,0.6705
164,0.6193205714225769,0.805400013923645,0.9590729475021362,0.679
165,0.6155300140380859,0.8044999837875366,0.9684047102928162,0.6805
166,0.6954519152641296,0.7778000235557556,0.9243038892745972,0.6878
167,0.6406118869781494,0.795520007610321,0.904487669467926,0.6958
168,0.6538345217704773,0.7944599986076355,1.0917857885360718,0.6522
169,0.630408763885498,0.8043000102043152,0.9825952053070068,0.6726
170,0.6201528310775757,0.8024399876594543,0.9704484343528748,0.6761
171,0.6182425022125244,0.8032799959182739,0.9103687405586243,0.6976
172,0.6183530688285828,0.8072999715805054,0.8619043827056885,0.7105
173,0.635054886341095,0.7996000051498413,0.9778732657432556,0.6765
174,0.5988168716430664,0.8119999766349792,0.9549863338470459,0.6841
175,0.6082608103752136,0.8071600198745728,1.0172606706619263,0.6751
176,0.578213632106781,0.819599986076355,0.9005759954452515,0.6964
177,0.610031008720398,0.8069400191307068,0.9974800944328308,0.6795
178,0.6589678525924683,0.7886000275611877,0.9747770428657532,0.6843
179,0.5754381418228149,0.8203999996185303,1.0522536039352417,0.6715
180,0.5952509641647339,0.8155999779701233,0.9534638524055481,0.689
181,0.610837996006012,0.8082399964332581,0.8720086216926575,0.7117
182,0.6169949173927307,0.8043599724769592,0.9008528590202332,0.7011
183,0.6072972416877747,0.8091999888420105,0.9090499877929688,0.6961
184,0.5934278964996338,0.8126999735832214,0.9277793169021606,0.6925
185,0.5813519954681396,0.817520022392273,0.8446818590164185,0.7205
186,0.56252121925354,0.8231800198554993,0.8695709705352783,0.7114
187,0.6025980710983276,0.8133000135421753,0.9171966910362244,0.6932
188,0.5828530788421631,0.8197799921035767,0.9777718782424927,0.6853
189,0.5893644690513611,0.8170400261878967,1.0818806886672974,0.6538
190,0.6097646951675415,0.8102800250053406,1.0016001462936401,0.6721
191,0.5479472279548645,0.8312399983406067,0.9060754179954529,0.6963
192,0.5971933603286743,0.8118600249290466,1.1038024425506592,0.6574
193,0.5424512624740601,0.8345199823379517,0.8828436732292175,0.7132
194,0.5983453392982483,0.8106200098991394,0.8946332931518555,0.7076
195,0.5463017225265503,0.8281599879264832,1.003830075263977,0.677
196,0.5409547686576843,0.8322399854660034,1.0555940866470337,0.6638
197,0.5743602514266968,0.8204200267791748,0.9223667979240417,0.7015
198,0.5237428545951843,0.8386399745941162,0.8718314170837402,0.7175
199,0.5021554231643677,0.8421000242233276,0.8928118944168091,0.7101
