step,train_loss,train_accuracy,test_loss,test_accuracy
0,2.1699280738830566,0.2275799959897995,2.0369250774383545,0.2679
1,1.982682466506958,0.30344000458717346,1.955148458480835,0.2855
2,1.8897545337677002,0.3398599922657013,1.843457818031311,0.3461
3,1.8298461437225342,0.3607200086116791,1.7818844318389893,0.3685
4,1.7668514251708984,0.38515999913215637,1.7154669761657715,0.3886
5,1.7169554233551025,0.40470001101493835,1.6688746213912964,0.3983
6,1.6759477853775024,0.41962000727653503,1.6666978597640991,0.4056
7,1.6554654836654663,0.4283599853515625,1.6192265748977661,0.4192
8,1.5959464311599731,0.4457400143146515,1.668294906616211,0.4062
9,1.5976661443710327,0.4490799903869629,1.6348650455474854,0.4142
10,1.5754320621490479,0.4525800049304962,1.5063499212265015,0.4659
11,1.53968346118927,0.46647998690605164,1.6040061712265015,0.4306
12,1.5149677991867065,0.4740999937057495,1.5022433996200562,0.4632
13,1.506819725036621,0.4795199930667877,1.5409541130065918,0.45
14,1.4779924154281616,0.4898200035095215,1.4851946830749512,0.4608
15,1.4651963710784912,0.4910599887371063,1.4785977602005005,0.4751
16,1.448561668395996,0.5002999901771545,1.5029683113098145,0.462
17,1.430072546005249,0.508840024471283,1.4796441793441772,0.4748
18,1.4306988716125488,0.5069199800491333,1.431424617767334,0.4992
19,1.413788914680481,0.5148000121116638,1.497182846069336,0.4489
20,1.404329538345337,0.5196999907493591,1.4345017671585083,0.4734
21,1.3956058025360107,0.518779993057251,1.3652582168579102,0.5104
22,1.3619821071624756,0.5347800254821777,1.433751106262207,0.4913
23,1.3764573335647583,0.5299199819564819,1.3639087677001953,0.5179
24,1.3596088886260986,0.5318999886512756,1.3673163652420044,0.508
25,1.3534481525421143,0.5354999899864197,1.3498996496200562,0.5092
26,1.3227739334106445,0.5451800227165222,1.3127830028533936,0.535
27,1.3406869173049927,0.5383999943733215,1.3446215391159058,0.5235
28,1.332218885421753,0.543940007686615,1.2932908535003662,0.5383
29,1.3069936037063599,0.5536999702453613,1.3709200620651245,0.5079
30,1.3086832761764526,0.556439995765686,1.3476530313491821,0.5248
31,1.326102375984192,0.5504000186920166,1.3418431282043457,0.5194
32,1.2794530391693115,0.5643799901008606,1.2752760648727417,0.5493
33,1.272503137588501,0.5662000179290771,1.3055319786071777,0.5423
34,1.2403404712677002,0.5750399827957153,1.2881114482879639,0.5421
35,1.2685351371765137,0.5716800093650818,1.3221805095672607,0.542
36,1.2309024333953857,0.5777999758720398,1.2447134256362915,0.5634
37,1.2435940504074097,0.5770800113677979,1.3179740905761719,0.5334
38,1.241615653038025,0.5755800008773804,1.2386685609817505,0.5549
39,1.2333403825759888,0.5832800269126892,1.2670845985412598,0.55
40,1.2233245372772217,0.5837600231170654,1.2875066995620728,0.5383
41,1.2013188600540161,0.595740020275116,1.1934279203414917,0.5739
42,1.213199257850647,0.5905600190162659,1.2111932039260864,0.5722
43,1.1947077512741089,0.5957199931144714,1.3255352973937988,0.5229
44,1.212327241897583,0.5941399931907654,1.4002801179885864,0.5083
45,1.1708476543426514,0.6069599986076355,1.3295369148254395,0.5279
46,1.1629536151885986,0.6081399917602539,1.2214099168777466,0.5725
47,1.148144006729126,0.6137999892234802,1.2376775741577148,0.5675
48,1.133573293685913,0.6172000169754028,1.3257009983062744,0.5348
49,1.160179615020752,0.6119800209999084,1.1775352954864502,0.5818
50,1.1556185483932495,0.6110799908638,1.2061762809753418,0.5765
