step,train_time,aggregate_time,elapsed time
0_1,19.704869747161865,0.012270927429199219,0.012419462203979492
0_2,0.13140487670898438,0.012225151062011719,0.012668132781982422
0_3,0.15358710289001465,0.012262344360351562,0.012398481369018555
0_4,0.14431500434875488,0.012350797653198242,0.012497186660766602
0_5,0.1501140594482422,0.01514434814453125,0.015282869338989258
0_6,0.14800548553466797,0.012344837188720703,0.012490034103393555
0_7,0.1412036418914795,0.012383460998535156,0.012520551681518555
0_8,0.14966535568237305,0.012319803237915039,0.012560129165649414
0_9,0.13715887069702148,0.012303590774536133,0.012449026107788086
0_10,0.1504826545715332,0.012308597564697266,0.01244664192199707
0_11,0.1417369842529297,0.01240229606628418,0.012545108795166016
0_12,0.13934922218322754,0.012730836868286133,0.012862443923950195
0_13,0.14632964134216309,0.012483596801757812,0.012719154357910156
0_14,0.132523775100708,0.012491226196289062,0.012625932693481445
0_15,0.15961313247680664,0.012307405471801758,0.012449026107788086
0_16,0.1400461196899414,0.012313604354858398,0.01274418830871582
0_17,0.1484971046447754,0.012264251708984375,0.012772321701049805
0_18,0.13474798202514648,0.012250661849975586,0.012787580490112305
0_19,0.142822265625,0.0123138427734375,0.012560129165649414
0_20,0.1363358497619629,0.01279306411743164,0.012938261032104492
0_21,0.13750076293945312,0.012317657470703125,0.01246500015258789
0_22,0.14292478561401367,0.012136697769165039,0.012634038925170898
0_23,0.13837218284606934,0.012192487716674805,0.01233053207397461
0_24,0.14542436599731445,0.01246953010559082,0.012607574462890625
0_25,0.1435990333557129,0.01251530647277832,0.012652158737182617
0_26,0.1436460018157959,0.012343406677246094,0.012474775314331055
0_27,0.14664793014526367,0.012902259826660156,0.013312578201293945
0_28,0.1311488151550293,0.01251077651977539,0.012644529342651367
0_29,0.13136649131774902,0.012319564819335938,0.012744665145874023
0_30,0.1316089630126953,0.01204061508178711,0.012380361557006836
0_31,0.12793684005737305,0.012527704238891602,0.01275491714477539
0_32,0.14562273025512695,0.01234579086303711,0.012591838836669922
