step,train_loss
0,0.26074254512786865
1,0.17711199820041656
2,0.14752396941184998
3,0.1334608495235443
4,0.12373840063810349
5,0.11473056674003601
6,0.1048993393778801
7,0.09355669468641281
8,0.08123207837343216
9,0.06930346041917801
10,0.0594644658267498
11,0.05225566402077675
12,0.04730246216058731
13,0.04362122714519501
14,0.04098540171980858
15,0.03885674104094505
16,0.03736609220504761
17,0.0360976979136467
18,0.03504432737827301
19,0.034241221845149994
20,0.03353390842676163
21,0.03296731412410736
22,0.03244006261229515
23,0.031947385519742966
24,0.03152063488960266
25,0.031098617240786552
26,0.03074026294052601
27,0.030428390949964523
28,0.03019288182258606
29,0.02981789968907833
30,0.02953905239701271
31,0.029332740232348442
32,0.02912355586886406
33,0.028890853747725487
34,0.028684163466095924
35,0.02855451963841915
36,0.02827630005776882
37,0.028092678636312485
38,0.027952183037996292
39,0.027887167409062386
40,0.02761210687458515
41,0.027388721704483032
42,0.02734471671283245
43,0.027171079069375992
44,0.02708945795893669
45,0.026947863399982452
46,0.026830213144421577
