step,train_time,quantize_time,encrypt_time,aggregate_time,decrypt_time,dequantize_time,elasp_time
0_1,0.6627628803253174,0.06656765937805176,0.0899043083190918,0.026419639587402344,0.008804798126220703,0.029355525970458984,0.7526264190673828
0_2,0.07474160194396973,0.08147215843200684,0.10789990425109863,0.02197885513305664,0.0071985721588134766,0.028385400772094727,0.28807640075683594
0_3,0.07384800910949707,0.11926031112670898,0.12067174911499023,0.020723581314086914,0.007416963577270508,0.025355100631713867,0.32848024368286133
0_4,0.06324315071105957,0.07269740104675293,0.0920555591583252,0.017673969268798828,0.006542205810546875,0.025680065155029297,0.2530491352081299
0_5,0.07976198196411133,0.061934709548950195,0.09908652305603027,0.019744157791137695,0.00705409049987793,0.029932260513305664,0.24733948707580566
0_6,0.06949424743652344,0.05373263359069824,0.0889425277709961,0.017756938934326172,0.006762504577636719,0.022645235061645508,0.21704387664794922
0_7,0.053212642669677734,0.05602264404296875,0.09011197090148926,0.020012378692626953,0.007058382034301758,0.024166345596313477,0.2274010181427002
0_8,0.0640406608581543,0.055748939514160156,0.08974838256835938,0.020474910736083984,0.0072743892669677734,0.033205509185791016,0.23499822616577148
0_9,0.05392813682556152,0.055596351623535156,0.08580875396728516,0.01827239990234375,0.006928205490112305,0.023134946823120117,0.2173633575439453
0_10,0.05306577682495117,0.051523447036743164,0.0838017463684082,0.018620014190673828,0.006833314895629883,0.022858619689941406,0.21067237854003906
0_11,0.05314207077026367,0.05910539627075195,0.08441734313964844,0.019810199737548828,0.00686192512512207,0.02302408218383789,0.22240233421325684
0_12,0.05286741256713867,0.09473061561584473,0.15943193435668945,0.025428295135498047,0.008137941360473633,0.042845964431762695,0.37076807022094727
0_13,0.17106008529663086,0.16289544105529785,0.10526061058044434,0.025725364685058594,0.009215593338012695,0.03163909912109375,0.3638029098510742
0_14,0.06105685234069824,0.056575775146484375,0.10123133659362793,0.02207040786743164,0.007630109786987305,0.02516484260559082,0.24380731582641602
0_15,0.06457209587097168,0.0569157600402832,0.08108663558959961,0.019339799880981445,0.007390260696411133,0.024634838104248047,0.21859335899353027
0_16,0.0529019832611084,0.05142712593078613,0.07996106147766113,0.020265579223632812,0.007409572601318359,0.023841142654418945,0.20968246459960938
0_17,0.05315685272216797,0.053093910217285156,0.07939529418945312,0.01977086067199707,0.0072247982025146484,0.023579120635986328,0.2146158218383789
0_18,0.05844259262084961,0.05733084678649902,0.09357905387878418,0.02225017547607422,0.0076181888580322266,0.026226282119750977,0.23647260665893555
0_19,0.05850672721862793,0.06051778793334961,0.08315086364746094,0.022081851959228516,0.007440328598022461,0.024772167205810547,0.22612690925598145
0_20,0.05349159240722656,0.05581927299499512,0.08041882514953613,0.019911766052246094,0.0075054168701171875,0.024052143096923828,0.2155904769897461
0_21,0.0534825325012207,0.10083651542663574,0.13851642608642578,0.029822826385498047,0.010080575942993164,0.05468106269836426,0.39601874351501465
0_22,0.11483526229858398,0.05308938026428223,0.0794525146484375,0.020213603973388672,0.008939504623413086,0.02690410614013672,0.2185685634613037
0_23,0.1090095043182373,0.06294608116149902,0.0937490463256836,0.02959728240966797,0.009033918380737305,0.028339862823486328,0.26667141914367676
0_24,0.07565641403198242,0.06727004051208496,0.08484053611755371,0.02060675621032715,0.008001089096069336,0.024709463119506836,0.23471641540527344
0_25,0.05372214317321777,0.055437564849853516,0.07656097412109375,0.020517349243164062,0.007540702819824219,0.02430415153503418,0.2136077880859375
0_26,0.05427908897399902,0.05521988868713379,0.07380485534667969,0.02216362953186035,0.007732868194580078,0.024636507034301758,0.21105027198791504
0_27,0.07182788848876953,0.058560848236083984,0.0744011402130127,0.020787715911865234,0.0076580047607421875,0.024826526641845703,0.21939826011657715
0_28,0.05701923370361328,0.05506181716918945,0.07461762428283691,0.031063318252563477,0.00827789306640625,0.026232242584228516,0.22588038444519043
0_29,0.05840635299682617,0.061640024185180664,0.0875253677368164,0.03060173988342285,0.008639097213745117,0.02703070640563965,0.24823498725891113
0_30,0.06011366844177246,0.05785489082336426,0.08460783958435059,0.02543926239013672,0.008919239044189453,0.033185482025146484,0.24318456649780273
0_31,0.060842037200927734,0.06870698928833008,0.08573436737060547,0.024660110473632812,0.008556365966796875,0.028534889221191406,0.2476508617401123
0_32,0.06184267997741699,0.06529808044433594,0.08022594451904297,0.021611690521240234,0.008255243301391602,0.026087284088134766,0.23448538780212402
0_33,0.058975934982299805,0.05961465835571289,0.08031940460205078,0.028959274291992188,0.009969234466552734,0.0279083251953125,0.23759794235229492
0_34,0.06117534637451172,0.0626533031463623,0.0837249755859375,0.02406024932861328,0.008858680725097656,0.028266429901123047,0.2382979393005371
0_35,0.060733795166015625,0.061170339584350586,0.07926583290100098,0.03169393539428711,0.009830236434936523,0.026473283767700195,0.23952126502990723
0_36,0.07021546363830566,0.05536341667175293,0.06880378723144531,0.021312952041625977,0.008020162582397461,0.02568364143371582,0.20767927169799805
0_37,0.054486751556396484,0.05458235740661621,0.0714881420135498,0.02243638038635254,0.007829666137695312,0.025475025177001953,0.21442437171936035
0_38,0.05646681785583496,0.05446791648864746,0.07174992561340332,0.0218508243560791,0.008336067199707031,0.02545452117919922,0.21203160285949707
0_39,0.053858041763305664,0.0551295280456543,0.07337498664855957,0.024433374404907227,0.008069038391113281,0.025516510009765625,0.2213892936706543
0_40,0.06284165382385254,0.06134605407714844,0.15289735794067383,0.029720067977905273,0.009330034255981445,0.05657839775085449,0.3832542896270752
0_41,0.12189388275146484,0.06536531448364258,0.0868215560913086,0.02905893325805664,0.010349273681640625,0.03212380409240723,0.2564876079559326
0_42,0.07843279838562012,0.06809687614440918,0.0778350830078125,0.029802799224853516,0.009647369384765625,0.0448307991027832,0.2645890712738037
0_43,0.0596621036529541,0.06329655647277832,0.07510066032409668,0.025644302368164062,0.010126113891601562,0.03183317184448242,0.2356855869293213
0_44,0.0535891056060791,0.05598020553588867,0.06790494918823242,0.021949052810668945,0.008255720138549805,0.025143861770629883,0.20958280563354492
0_45,0.05445551872253418,0.0550234317779541,0.07038235664367676,0.022907257080078125,0.008393287658691406,0.028862953186035156,0.22343993186950684
