step,train_loss,train_accuracy,jaccard index(JA),dice coefficient(DI),Accuracy(AC),sensitivity(SE),specificity(SP)
0,0.7343360185623169,0.0,8.489634748265754e-05,0.09435745558804039,0.00016967745499588065,9.019591391526602e-05,0.12265746023346742
1,0.713897705078125,0.0,0.0,0.08779768533131256,0.0,0.0,0.12416364029750875
2,0.7070033550262451,0.0,0.0,0.19985358569592374,0.0,0.0,0.24922733516471463
0,0.6930853128433228,0.0,0.0,0.094461142537097,0.0,0.0,0.12498878179236829
1,0.6930753588676453,0.0,0.0,0.09159066143935063,0.0,0.0,0.12499305421414056
2,0.6930546760559082,0.0,0.0,0.19427547776850776,0.0,0.0,0.24999253593932713
0,0.6929681301116943,0.0,0.0,0.10123463665505696,0.0,0.0,0.12499790720921569
1,0.6929970979690552,0.0,0.0,0.08480844123098671,0.0,0.0,0.12499857073432095
2,0.6929752230644226,0.0,0.0,0.0,0.0,0.0,0.0
