step,train_time,quantize_time,aggregate_time,dequantize_time,elasp_time
0_1,2.9142959117889404,0.9869358539581299,0.3092679977416992,0.3269965648651123,1.6236224174499512
0_2,0.1336965560913086,0.9977149963378906,0.2973933219909668,0.3109588623046875,1.6065280437469482
0_3,0.13942861557006836,0.9342429637908936,0.28157925605773926,0.3058803081512451,1.5221645832061768
0_4,0.15041542053222656,0.8916432857513428,0.26417064666748047,0.30310773849487305,1.4593632221221924
0_5,0.14306187629699707,0.8748066425323486,0.24223661422729492,0.29801249504089355,1.4155182838439941
0_6,0.1392672061920166,0.8145885467529297,0.21791505813598633,0.3017134666442871,1.3347125053405762
0_7,0.14090967178344727,0.7942049503326416,0.20516633987426758,0.28867483139038086,1.2885239124298096
0_8,0.14171218872070312,0.7907485961914062,0.19305753707885742,0.2902102470397949,1.2744669914245605
0_9,0.14186906814575195,0.730154275894165,0.17026352882385254,0.2861456871032715,1.1869962215423584
0_10,0.14011526107788086,0.7355787754058838,0.1587374210357666,0.28559422492980957,1.1803910732269287
0_11,0.1457827091217041,0.699774980545044,0.15952491760253906,0.28638744354248047,1.1461429595947266
0_12,0.1384575366973877,0.6886286735534668,0.1528463363647461,0.280977725982666,1.122929334640503
0_13,0.1408069133758545,0.6768136024475098,0.14496684074401855,0.2817869186401367,1.1042702198028564
0_14,0.14180684089660645,0.7035179138183594,0.1433248519897461,0.28231143951416016,1.1296684741973877
0_15,0.13410186767578125,0.6658790111541748,0.1407320499420166,0.279388427734375,1.0865778923034668
0_16,0.14665508270263672,0.6670608520507812,0.1374650001525879,0.2794911861419678,1.0844504833221436
0_17,0.15058469772338867,0.6448400020599365,0.13718724250793457,0.281235933303833,1.063957691192627
0_18,0.13740015029907227,0.648263692855835,0.13315868377685547,0.27948498725891113,1.0615425109863281
0_19,0.15236854553222656,0.6475865840911865,0.12936949729919434,0.27627062797546387,1.0539684295654297
0_20,0.14552688598632812,0.6420588493347168,0.130018949508667,0.28433823585510254,1.0568292140960693
0_21,0.15522456169128418,0.633514404296875,0.12861967086791992,0.27874135971069336,1.0413432121276855
0_22,0.14746451377868652,0.770899772644043,0.12589502334594727,0.2771315574645996,1.1743638515472412
0_23,0.1431262493133545,0.6708621978759766,0.12302041053771973,0.2765233516693115,1.0708491802215576
0_24,0.14480113983154297,0.627342700958252,0.122314453125,0.2761046886444092,1.0262072086334229
0_25,0.142014741897583,0.6239113807678223,0.12012290954589844,0.27435731887817383,1.018874168395996
0_26,0.12948966026306152,0.6279246807098389,0.12010431289672852,0.27228379249572754,1.0208051204681396
0_27,0.14481186866760254,0.6233258247375488,0.11777067184448242,0.27111029624938965,1.0126452445983887
0_28,0.1391146183013916,0.6512477397918701,0.11573076248168945,0.2709338665008545,1.0388319492340088
0_29,0.14586758613586426,0.639437198638916,0.11552691459655762,0.2678213119506836,1.023244857788086
0_30,0.1437082290649414,0.771167516708374,0.11429119110107422,0.34241175651550293,1.2288811206817627
0_31,0.13481497764587402,0.7341940402984619,0.1129910945892334,0.2683217525482178,1.1159207820892334
0_32,0.12664246559143066,0.6160130500793457,0.11371564865112305,0.2676355838775635,0.9978053569793701
0_33,0.12647795677185059,0.6127591133117676,0.1116480827331543,0.26596546173095703,0.9910917282104492
0_34,0.1310572624206543,0.6168146133422852,0.11189007759094238,0.2653629779815674,0.9944756031036377
0_35,0.12451338768005371,0.6162147521972656,0.1114187240600586,0.2670884132385254,0.995250940322876
0_36,0.13596510887145996,0.6262807846069336,0.11202740669250488,0.2789599895477295,1.017974615097046
0_37,0.12783265113830566,0.6151859760284424,0.11236095428466797,0.26401448249816895,0.9920001029968262
0_38,0.12787413597106934,0.6276874542236328,0.10980367660522461,0.26658010482788086,1.0045080184936523
0_39,0.1281452178955078,0.6223821640014648,0.11004185676574707,0.26537466049194336,0.9982414245605469
0_40,0.1809864044189453,0.6294398307800293,0.1065683364868164,0.2614610195159912,0.9981944561004639
1_1,0.13051629066467285,0.6094715595245361,0.11192035675048828,0.26512670516967773,0.9872415065765381
1_2,0.15400123596191406,0.6508638858795166,0.10857295989990234,0.2684977054595947,1.0283796787261963
