step,train_time,quantize_time,aggregate_time,dequantize_time,elasp_time
0_1,0.2616133689880371,2.745288610458374,1.1181058883666992,1.1400859355926514,5.0039777755737305
0_2,0.2462315559387207,3.0229921340942383,1.1048362255096436,1.0649101734161377,5.193268060684204
0_3,0.24592804908752441,2.9896271228790283,1.1147260665893555,1.077897548675537,5.182803153991699
0_4,0.25751447677612305,3.1216750144958496,1.1254677772521973,1.0778450965881348,5.325816631317139
0_5,0.31319236755371094,3.1076934337615967,1.150965929031372,1.084824562072754,5.344297885894775
0_6,0.23823022842407227,3.065065622329712,1.1138787269592285,1.0792407989501953,5.258697032928467
0_7,0.2501392364501953,3.1532394886016846,1.1268231868743896,1.1831414699554443,5.463750839233398
0_8,0.252056360244751,3.171602725982666,1.1131250858306885,1.0929572582244873,5.378226041793823
0_9,0.2508976459503174,3.1940994262695312,1.1062285900115967,1.081559181213379,5.382421493530273
0_10,0.24195384979248047,3.133171796798706,1.1134061813354492,1.0798735618591309,5.326988220214844
0_11,0.25064873695373535,3.194352865219116,1.1050984859466553,1.0915286540985107,5.391515016555786
0_12,0.2630424499511719,3.256443738937378,1.0958397388458252,1.0856783390045166,5.438486576080322
0_13,0.24098634719848633,3.201763391494751,1.0967354774475098,1.0806465148925781,5.3796913623809814
0_14,0.24944090843200684,3.1751139163970947,1.0818371772766113,1.1036522388458252,5.3611273765563965
0_15,0.2398066520690918,3.28777813911438,1.0892858505249023,1.27254319190979,5.650325536727905
0_16,0.23720216751098633,3.104060649871826,1.0861563682556152,1.0850982666015625,5.27583384513855
0_17,0.23123812675476074,3.1223819255828857,1.0750007629394531,1.0867934226989746,5.284842014312744
0_18,0.23100876808166504,3.1121702194213867,1.076038122177124,1.0896809101104736,5.2784223556518555
0_19,0.23638367652893066,3.1061062812805176,1.0821137428283691,1.0891430377960205,5.277897834777832
0_20,0.2367696762084961,3.1449460983276367,1.0850307941436768,1.0986862182617188,5.3293256759643555
0_21,0.2345256805419922,3.217189311981201,1.0979194641113281,1.1192524433135986,5.434913873672485
0_22,0.23292851448059082,3.1708803176879883,1.0964295864105225,1.1074705123901367,5.375324010848999
0_23,0.23641705513000488,3.156745433807373,1.092395305633545,1.1014480590820312,5.351130485534668
0_24,0.23045969009399414,3.1546390056610107,1.0929534435272217,1.1130831241607666,5.3614821434021
0_25,0.2318589687347412,3.2219724655151367,1.0965290069580078,1.104658603668213,5.423715114593506
0_26,0.23803377151489258,3.114495277404785,1.0960218906402588,1.155714511871338,5.36676549911499
0_27,0.24094891548156738,3.171112537384033,1.0904452800750732,1.1182861328125,5.380359888076782
0_28,0.2295844554901123,3.1113247871398926,1.1010644435882568,1.1363017559051514,5.349246501922607
0_29,0.22903203964233398,3.1876862049102783,1.0922374725341797,1.118490219116211,5.398951768875122
0_30,0.23317408561706543,3.141038656234741,1.0906076431274414,1.1140391826629639,5.346270322799683
0_31,0.23456907272338867,3.231285810470581,1.0981767177581787,1.1140592098236084,5.44407057762146
0_32,0.2331836223602295,3.122302532196045,1.0893354415893555,1.1297438144683838,5.342031717300415
0_33,0.23956632614135742,3.15326189994812,1.0864691734313965,1.123227596282959,5.363493919372559
0_34,0.233534574508667,3.1620426177978516,1.1049861907958984,1.1188387870788574,5.386631488800049
0_35,0.23033523559570312,3.1434826850891113,1.0972959995269775,1.1206467151641846,5.361947774887085
0_36,0.23109078407287598,3.144904851913452,1.0920419692993164,1.1269261837005615,5.364814758300781
0_37,0.23591971397399902,3.1859543323516846,1.0902602672576904,1.3274359703063965,5.604219436645508
0_38,0.2338259220123291,3.229275941848755,1.086369514465332,1.1192691326141357,5.435805320739746
0_39,0.2333221435546875,3.144012928009033,1.083289623260498,1.1308073997497559,5.358656406402588
0_40,0.23304414749145508,3.123506546020508,1.0903875827789307,1.1212551593780518,5.335937023162842
0_41,0.23783159255981445,3.1568338871002197,1.0923552513122559,1.126847743988037,5.37681245803833
0_42,0.23296785354614258,3.1460511684417725,1.0881950855255127,1.1325831413269043,5.3676488399505615
0_43,0.2305126190185547,3.1864612102508545,1.0952386856079102,1.1328988075256348,5.4151482582092285
0_44,0.23332905769348145,3.178532123565674,1.0887231826782227,1.1303694248199463,5.398162126541138
0_45,0.22977161407470703,3.1935479640960693,1.1044631004333496,1.150705099105835,5.449444770812988
0_46,0.23711013793945312,3.1387996673583984,1.0998036861419678,1.1301109790802002,5.3692467212677
0_47,0.232191801071167,3.1987922191619873,1.0856773853302002,1.1368141174316406,5.421938180923462
0_48,0.2340383529663086,3.1586873531341553,1.089993953704834,1.135685682296753,5.38491153717041
0_49,0.23659586906433105,3.1783597469329834,1.1169219017028809,1.145305871963501,5.441109895706177
0_50,0.24758648872375488,3.222102642059326,1.1069729328155518,1.1459968090057373,5.4756317138671875
0_51,0.24212980270385742,3.232762575149536,1.1108245849609375,1.1584079265594482,5.502562761306763
0_52,0.23928022384643555,3.2471184730529785,1.109055995941162,1.1507887840270996,5.507652282714844
0_53,0.23432183265686035,3.255366325378418,1.0973219871520996,1.1578586101531982,5.511088848114014
0_54,0.23688793182373047,3.2796518802642822,1.0985183715820312,1.1613245010375977,5.5400402545928955
0_55,0.24146628379821777,3.2982630729675293,1.1048455238342285,1.1630151271820068,5.566663503646851
0_56,0.24463629722595215,3.2473738193511963,1.2157495021820068,1.1642985343933105,5.627980470657349
0_57,0.232421875,3.237644910812378,1.2494511604309082,1.165553092956543,5.653346061706543
0_58,0.23704075813293457,3.17097806930542,1.0832688808441162,1.1625266075134277,5.41744589805603
0_59,0.2296450138092041,3.2978785037994385,1.107102632522583,1.1737432479858398,5.5797107219696045
0_60,0.2359609603881836,3.2925219535827637,1.2917652130126953,1.1697144508361816,5.754755258560181
0_61,0.23325490951538086,3.3323185443878174,1.1215200424194336,1.1635105609893799,5.61814022064209
0_62,0.2392890453338623,3.316584587097168,1.1001713275909424,1.1676394939422607,5.584944248199463
0_63,0.23615646362304688,3.286994457244873,1.093404769897461,1.1653330326080322,5.546262741088867
0_64,0.2368466854095459,3.293308734893799,1.0914525985717773,1.1798667907714844,5.56515908241272
0_65,0.23796582221984863,3.2698991298675537,1.093010425567627,1.1708147525787354,5.534256458282471
0_66,0.2387998104095459,3.288654088973999,1.1004712581634521,1.1749851703643799,5.564650535583496
0_67,0.2421579360961914,3.3857057094573975,1.1021490097045898,1.1874821186065674,5.675891399383545
0_68,0.2365891933441162,3.3004589080810547,1.0967001914978027,1.1786620616912842,5.576357841491699
0_69,0.24631071090698242,3.35798978805542,1.1039927005767822,1.184307336807251,5.64682674407959
0_70,0.24482393264770508,3.3532938957214355,1.0967626571655273,1.2042012214660645,5.654822587966919
