step,train_loss
0,0.2716232240200043
1,0.18055285513401031
2,0.15022817254066467
3,0.136074498295784
4,0.12673892080783844
5,0.11852959543466568
6,0.10987628996372223
7,0.10010889172554016
8,0.08913199603557587
9,0.07794533669948578
10,0.06772947311401367
11,0.059648945927619934
12,0.05363376811146736
13,0.049180202186107635
14,0.04588160291314125
15,0.04317076504230499
16,0.041171956807374954
17,0.03950786963105202
18,0.03811955824494362
19,0.03704294562339783
20,0.03605439513921738
21,0.03522925078868866
22,0.03454042971134186
23,0.03393108397722244
24,0.03337961435317993
25,0.032863058149814606
26,0.03242376819252968
27,0.03216157853603363
28,0.031725578010082245
29,0.03142406791448593
30,0.031029535457491875
31,0.030779805034399033
32,0.030536150559782982
33,0.0302231777459383
34,0.030001088976860046
35,0.02984657697379589
36,0.029628055170178413
37,0.02934151701629162
38,0.029121115803718567
39,0.029048381373286247
40,0.028758276253938675
41,0.02866143360733986
42,0.02845475636422634
43,0.028363091871142387
