step,train_loss
0,0.2583785057067871
1,0.17614337801933289
2,0.14710013568401337
3,0.13353054225444794
4,0.1241682767868042
5,0.11562447249889374
6,0.10656672716140747
7,0.09652929753065109
8,0.08560937643051147
9,0.07454492896795273
10,0.06476405262947083
11,0.05695625767111778
12,0.05124540254473686
13,0.04681766405701637
14,0.04367029666900635
15,0.04145725071430206
16,0.03951537609100342
17,0.03802543133497238
18,0.036914777010679245
19,0.035894326865673065
20,0.035072486847639084
21,0.03441707044839859
22,0.03375808522105217
23,0.03322215750813484
24,0.03265012055635452
25,0.032316576689481735
26,0.031853001564741135
27,0.03147763013839722
28,0.031228354200720787
29,0.030867673456668854
30,0.030611049383878708
31,0.030298063531517982
32,0.030133472755551338
33,0.029873820021748543
34,0.029590997844934464
35,0.029381461441516876
36,0.029192466288805008
37,0.029036222025752068
38,0.028739742934703827
39,0.0284962709993124
