step,train_loss,train_accuracy,jaccard index(JA),dice coefficient(DI),Accuracy(AC),sensitivity(SE),specificity(SP)
0,0.6932292580604553,0.0,0.40709346004057045,0.40549278259277344,0.5108954079380348,0.9952873743569708,0.05071057908087689
1,0.6959113478660583,0.0,0.012205948110295229,0.5916786193847656,0.022896426557505498,0.013660238181858544,0.9410739749924198
2,0.694991409778595,0.0,2.9598421956444957e-05,0.8127079010009766,8.918914890664931e-06,3.0083527335293843e-05,0.9907414915558931
3,0.6945168972015381,0.0,0.0003970920642678233,0.7682476043701172,0.0002979402016990906,0.0004017181174870987,0.9940323419602477
4,0.6942139863967896,0.0,0.0,0.8749885559082031,0.0,0.0,0.9997251553627015
5,0.6939523816108704,0.0,0.0,0.8125591278076172,0.0,0.0,0.9999284277735151
6,0.6936547160148621,0.0,0.0,0.7326431274414062,0.0,0.0,0.9999807813171043
7,0.6930149793624878,0.0,0.0,0.8642673492431641,0.0,0.0,0.999997954474791
8,0.6910412311553955,0.0,0.0,0.7355880737304688,0.0,0.0,1.0
9,0.7062979936599731,0.0,0.0,0.7497081756591797,0.0,0.0,0.9999934905288054
10,0.6961678862571716,0.0,0.0,0.8439788818359375,0.0,0.0,1.0
11,0.6788200736045837,0.0,0.0,0.8643684387207031,0.0,0.0,1.0
12,0.6677199006080627,0.0,0.0,0.7869892120361328,0.0,0.0,1.0
13,0.6548285484313965,0.0,0.0,0.7938461303710938,0.0,0.0,1.0
14,0.6556202173233032,0.0,0.0,0.7191524505615234,0.0,0.0,1.0
15,0.6438075304031372,0.0,0.0,0.8027381896972656,0.0,0.0,1.0
16,0.6346864104270935,0.0,0.0,0.8098678588867188,0.0,0.0,1.0
17,0.6249189972877502,0.0,0.0,0.8063755035400391,0.0,0.0,1.0
18,0.627956211566925,0.0,0.0,0.6490306854248047,0.0,0.0,1.0
19,0.6158820986747742,0.0,0.0,0.8307323455810547,0.0,0.0,0.999997997500881
20,0.6065419316291809,0.0,0.0,0.8468208312988281,0.0,0.0,1.0
21,0.6053328514099121,0.0,0.0,0.6592292785644531,0.0,0.0,1.0
22,0.6010591387748718,0.0,0.0,0.7120170593261719,0.0,0.0,1.0
23,0.5943453907966614,0.0,0.0,0.7527847290039062,0.0,0.0,1.0
24,0.5848881602287292,0.0,0.0,0.85882568359375,0.0,0.0,1.0
25,0.5835376381874084,0.0,0.0,0.6741046905517578,0.0,0.0,1.0
26,0.5790320634841919,0.0,0.0,0.7627582550048828,0.0,0.0,1.0
27,0.5712541341781616,0.0,0.0,0.8170738220214844,0.0,0.0,1.0
28,0.5670568943023682,0.0,0.0,0.7671794891357422,0.0,0.0,1.0
29,0.5637359619140625,0.0,0.0,0.7190895080566406,0.0,0.0,1.0
30,0.5592510104179382,0.0,0.0,0.7625064849853516,0.0,0.0,1.0
31,0.5519234538078308,0.0,0.0,0.8209457397460938,0.0,0.0,1.0
32,0.5429338812828064,0.0,0.0,0.866943359375,0.0,0.0,1.0
33,0.5385938286781311,0.0,0.0,0.7978515625,0.0,0.0,1.0
34,0.5344282984733582,0.0,0.0,0.8158245086669922,0.0,0.0,1.0
35,0.5352410078048706,0.0,0.0,0.7756271362304688,0.0,0.0,1.0
36,0.5269539952278137,0.0,0.0,0.8783683776855469,0.0,0.0,1.0
37,0.5246126055717468,0.0,0.0,0.7520027160644531,0.0,0.0,1.0
38,0.519041895866394,0.0,0.0,0.7942104339599609,0.0,0.0,1.0
39,0.5175915956497192,0.0,0.0,0.7441654205322266,0.0,0.0,1.0
40,0.512580931186676,0.0,0.0,0.8071670532226562,0.0,0.0,1.0
41,0.5105646848678589,0.0,0.0,0.7663326263427734,0.0,0.0,1.0
42,0.5062866806983948,0.0,0.0,0.8246002197265625,0.0,0.0,1.0
43,0.503446102142334,0.0,0.0,0.7747516632080078,0.0,0.0,1.0
44,0.5019688010215759,0.0,0.0,0.7739086151123047,0.0,0.0,1.0
45,0.4971039295196533,0.0,0.0,0.8798274993896484,0.0,0.0,1.0
46,0.49556583166122437,0.0,0.0,0.7818527221679688,0.0,0.0,1.0
47,0.4907127618789673,0.0,0.0,0.8407211303710938,0.0,0.0,1.0
48,0.48840150237083435,0.0,0.0,0.8124103546142578,0.0,0.0,1.0
49,0.49701008200645447,0.0,0.0,0.5422172546386719,0.0,0.0,1.0
50,0.494076669216156,0.0,0.0,0.7661170959472656,0.0,0.0,1.0
