step,train_time,quantize_time,encrypt_time,aggregate_time,decrypt_time,dequantize_time,elasp_time
0_1,4.965216398239136,1685175328.4913132,39.17739295959473,0.00012373924255371094,28.951338291168213,0.267958402633667,72.28608679771423
0_2,0.4058060646057129,1685175403.1131308,39.92145323753357,0.039304256439208984,29.787997007369995,0.3564796447753906,75.04732275009155
0_3,0.31373119354248047,1685175478.1158535,40.68934154510498,0.06560993194580078,32.286736488342285,0.5241386890411377,77.52471017837524
0_4,0.20401597023010254,1685175556.3759267,39.658177852630615,0.03319239616394043,31.9178249835968,0.5958938598632812,76.52837204933167
0_5,0.3809976577758789,1685175633.0911818,41.690964460372925,0.07303237915039062,32.116918087005615,0.5797140598297119,77.49884247779846
0_6,0.4034559726715088,1685175711.6793282,39.20264649391174,0.04023003578186035,33.65988874435425,0.6228628158569336,77.81546878814697
0_7,0.26865673065185547,1685175789.672364,39.83164930343628,0.0315554141998291,33.550190687179565,0.4025564193725586,78.06821084022522
0_8,0.2599506378173828,1685175867.8714015,41.053282260894775,0.041131019592285156,27.898563861846924,0.4133279323577881,72.86578226089478
0_9,0.39089107513427734,1685175941.5821698,40.122299909591675,0.043083906173706055,32.18847393989563,0.35996437072753906,77.08252763748169
0_10,0.15734267234802246,1685176018.7298915,39.153642654418945,0.07760024070739746,33.478182315826416,0.2770819664001465,77.1433470249176
