step,train_time,quantize_time,encrypt_time,aggregate_time,decrypt_time,dequantize_time,elasp_time
0_1,2.9710700511932373,1687261137.479079,0.012850284576416016,0.0029320716857910156,0.0012006759643554688,0.03432750701904297,6.1659934520721436
0_2,0.06550264358520508,1687261143.7517836,0.013539314270019531,0.002571582794189453,0.0009615421295166016,0.01992058753967285,0.30639100074768066
0_3,0.05373692512512207,1687261144.127477,0.010429859161376953,0.002389192581176758,0.0009818077087402344,0.019652605056762695,0.29618024826049805
0_4,0.053528785705566406,1687261144.4805703,0.010111093521118164,0.002457141876220703,0.0010216236114501953,0.02039504051208496,0.2886347770690918
0_5,0.061043739318847656,1687261144.8538501,0.010230779647827148,0.002578258514404297,0.001041412353515625,0.04299807548522949,0.32117700576782227
0_6,0.05273127555847168,1687261145.232784,0.009591102600097656,0.0025124549865722656,0.0009484291076660156,0.019876480102539062,0.2919306755065918
0_7,0.05146217346191406,1687261145.5840957,0.010224342346191406,0.003407716751098633,0.0013546943664550781,0.0420069694519043,0.3960452079772949
0_8,0.1329648494720459,1687261146.1850953,0.010578393936157227,0.002675294876098633,0.0011713504791259766,0.02168893814086914,0.38920092582702637
0_9,0.060073137283325195,1687261146.6209962,0.02042365074157715,0.013564586639404297,0.0010960102081298828,0.03732919692993164,0.4235239028930664
0_10,0.06971287727355957,1687261147.106345,0.009850025177001953,0.00244140625,0.0009493827819824219,0.019941329956054688,0.28820300102233887
0_11,0.05379962921142578,1687261147.45218,0.009795427322387695,0.0023651123046875,0.0009784698486328125,0.020204544067382812,0.28148531913757324
0_12,0.05275607109069824,1687261147.7986553,0.010116338729858398,0.0024254322052001953,0.0009622573852539062,0.02001357078552246,0.2834486961364746
0_13,0.05444526672363281,1687261148.157556,0.010260343551635742,0.0025157928466796875,0.0010919570922851562,0.020424842834472656,0.30478715896606445
0_14,0.06011509895324707,1687261148.5246196,0.010324954986572266,0.0026636123657226562,0.001050710678100586,0.032476186752319336,0.38877058029174805
0_15,0.05989885330200195,1687261148.9995668,0.011116981506347656,0.002702474594116211,0.0010476112365722656,0.020462989807128906,0.34269285202026367
0_16,0.06170654296875,1687261149.411947,0.010539531707763672,0.0027642250061035156,0.0010952949523925781,0.024024009704589844,0.30485987663269043
0_17,0.06363320350646973,1687261149.7937605,0.011329174041748047,0.003004312515258789,0.0012121200561523438,0.024120807647705078,0.3058192729949951
0_18,0.06223893165588379,1687261150.1699815,0.00982046127319336,0.002532482147216797,0.0009756088256835938,0.01961207389831543,0.2885603904724121
0_19,0.0510258674621582,1687261150.5107975,0.009837627410888672,0.002527952194213867,0.0009548664093017578,0.01984715461730957,0.28929805755615234
0_20,0.052297115325927734,1687261150.8607645,0.00990605354309082,0.002398252487182617,0.0009484291076660156,0.025606870651245117,0.28770875930786133
0_21,0.052298784255981445,1687261151.209289,0.010721445083618164,0.0024831295013427734,0.0011966228485107422,0.022691011428833008,0.2961866855621338
0_22,0.05938267707824707,1687261151.5810828,0.016507863998413086,0.004056453704833984,0.0018627643585205078,0.04320669174194336,0.4058237075805664
0_23,0.11669492721557617,1687261152.1892602,0.010823488235473633,0.0026886463165283203,0.00125885009765625,0.02050614356994629,0.38948702812194824
0_24,0.07973742485046387,1687261152.6116397,0.010591745376586914,0.002594470977783203,0.0010516643524169922,0.023425579071044922,0.33019137382507324
0_25,0.07900667190551758,1687261153.0388017,0.010296821594238281,0.002496957778930664,0.0010449886322021484,0.022786855697631836,0.2997109889984131
0_26,0.05827784538269043,1687261153.4024975,0.011679649353027344,0.002569437026977539,0.0010294914245605469,0.019725561141967773,0.29650449752807617
0_27,0.053591012954711914,1687261153.754775,0.009892940521240234,0.0023992061614990234,0.0009613037109375,0.0198056697845459,0.277163028717041
0_28,0.05240368843078613,1687261154.0966065,0.009983301162719727,0.002536773681640625,0.0009834766387939453,0.01962566375732422,0.28076791763305664
0_29,0.0653374195098877,1687261154.4451103,0.009830236434936523,0.002507448196411133,0.0009562969207763672,0.019780397415161133,0.2740311622619629
0_30,0.05292153358459473,1687261154.7882469,0.011089086532592773,0.0026476383209228516,0.0012676715850830078,0.02067422866821289,0.2983541488647461
0_31,0.08721351623535156,1687261155.207046,0.010587453842163086,0.0025169849395751953,0.001039266586303711,0.02028059959411621,0.47702622413635254
0_32,0.06201648712158203,1687261155.7330296,0.010561466217041016,0.0026602745056152344,0.001434326171875,0.020668745040893555,0.29837632179260254
0_33,0.05762887001037598,1687261156.111324,0.010916471481323242,0.0024144649505615234,0.000965118408203125,0.019754886627197266,0.2927563190460205
0_34,0.052193641662597656,1687261156.447802,0.010710954666137695,0.0024111270904541016,0.0009450912475585938,0.019828319549560547,0.27694106101989746
0_35,0.052773237228393555,1687261156.7925098,0.010622978210449219,0.0025615692138671875,0.0010368824005126953,0.026465892791748047,0.2962605953216553
0_36,0.08334732055664062,1687261157.2160158,0.010038614273071289,0.002410411834716797,0.00096893310546875,0.01972174644470215,0.3124063014984131
0_37,0.05397748947143555,1687261157.5572374,0.026218891143798828,0.0025510787963867188,0.0010504722595214844,0.046680450439453125,0.31900644302368164
