step,train_loss,train_accuracy,test_loss,test_accuracy
0,0.7287560105323792,0.7578666806221008,0.5089020729064941,0.8178
1,0.4408028721809387,0.8490666747093201,0.444202721118927,0.8413
2,0.3976236581802368,0.8624333143234253,0.4339461028575897,0.8445
3,0.3679959774017334,0.8732500076293945,0.39086055755615234,0.8636
4,0.3436483144760132,0.8812166452407837,0.37717777490615845,0.8661
5,0.3318943977355957,0.8845666646957397,0.3847315311431885,0.8613
6,0.3152414560317993,0.8907833099365234,0.36379486322402954,0.8687
7,0.3001602590084076,0.8960166573524475,0.36029788851737976,0.8722
8,0.29405057430267334,0.8981166481971741,0.3521193265914917,0.8733
9,0.29169657826423645,0.8990166783332825,0.34902554750442505,0.8769
10,0.2796790897846222,0.9020666480064392,0.3431345224380493,0.8759
11,0.2725946605205536,0.9049000144004822,0.34303197264671326,0.8776
12,0.26586753129959106,0.9072833061218262,0.33978304266929626,0.8796
13,0.25771018862724304,0.9104833602905273,0.36031436920166016,0.8743
14,0.2553240656852722,0.9108833074569702,0.34496092796325684,0.8793
15,0.2462216466665268,0.9144333600997925,0.3449164628982544,0.8781
16,0.23764902353286743,0.9168166518211365,0.3551347553730011,0.8776
17,0.23546430468559265,0.91798335313797,0.3437192440032959,0.8819
18,0.23103031516075134,0.9190666675567627,0.3500874638557434,0.8787
19,0.22742794454097748,0.9206666946411133,0.3583689332008362,0.8756
20,0.2253035455942154,0.9219833612442017,0.35560470819473267,0.8788
21,0.22310703992843628,0.9237666726112366,0.3732035458087921,0.8723
22,0.21746209263801575,0.9248499870300293,0.34664714336395264,0.8816
23,0.2125672847032547,0.9263499975204468,0.3464302122592926,0.8827
24,0.20369884371757507,0.9291999936103821,0.3600115180015564,0.8806
25,0.20098468661308289,0.9312333464622498,0.34507906436920166,0.8827
26,0.19542370736598969,0.9322166442871094,0.3616219758987427,0.8816
27,0.19057369232177734,0.9342333078384399,0.35616785287857056,0.8838
28,0.1908176690340042,0.9344833493232727,0.3660573959350586,0.8769
29,0.18638727068901062,0.9369999766349792,0.373658686876297,0.8796
30,0.1837373673915863,0.9377999901771545,0.3708589971065521,0.8818
31,0.18002824485301971,0.9392833113670349,0.36462295055389404,0.8849
32,0.1746494621038437,0.941349983215332,0.3707771301269531,0.8823
33,0.18062855303287506,0.9388333559036255,0.36812612414360046,0.8811
34,0.172013059258461,0.9415666460990906,0.37784913182258606,0.8832
35,0.17477695643901825,0.9406833052635193,0.3876030445098877,0.8783
36,0.17079609632492065,0.9430166482925415,0.3851470947265625,0.8805
37,0.17366617918014526,0.9409000277519226,0.3969551622867584,0.8813
38,0.16748462617397308,0.9432666897773743,0.3941684663295746,0.8793
39,0.16766643524169922,0.9429000020027161,0.3845651149749756,0.8827
40,0.16396558284759521,0.9451500177383423,0.38998258113861084,0.8824
41,0.16227690875530243,0.9449666738510132,0.3921909034252167,0.8849
42,0.16064031422138214,0.9457666873931885,0.4129078984260559,0.8791
43,0.16845332086086273,0.942633330821991,0.41596537828445435,0.876
44,0.16379903256893158,0.9445833563804626,0.39862391352653503,0.8818
45,0.17517611384391785,0.9390000104904175,0.40256357192993164,0.8822
46,0.16396546363830566,0.9443666934967041,0.4154438376426697,0.8779
47,0.1561962068080902,0.9472666382789612,0.4086257219314575,0.8809
48,0.15981599688529968,0.9459999799728394,0.4044983983039856,0.8803
49,0.1567533165216446,0.9460166692733765,0.4288124442100525,0.8734
