step,train_time,aggregate_time,elapsed time
0_1,5.015645742416382,0.13117289543151855,0.13135623931884766
0_2,0.5512270927429199,0.1731882095336914,0.17340660095214844
0_3,1.5672006607055664,0.1297454833984375,0.13003063201904297
1_1,0.5555548667907715,0.1662735939025879,0.16660261154174805
1_2,0.46630334854125977,0.1453564167022705,0.14569401741027832
1_3,0.40248537063598633,0.129530668258667,0.1296687126159668
2_1,0.4717843532562256,0.13378238677978516,0.13405418395996094
2_2,0.47338414192199707,0.13447952270507812,0.13475799560546875
2_3,0.4014899730682373,0.13576650619506836,0.13590049743652344
3_1,0.4756588935852051,0.12886571884155273,0.1289985179901123
3_2,0.4693639278411865,0.13546180725097656,0.13576459884643555
3_3,0.4145936965942383,0.13327550888061523,0.13339853286743164
4_1,0.4693772792816162,0.13032817840576172,0.13046956062316895
4_2,0.46176791191101074,0.1318833827972412,0.13201689720153809
4_3,0.40729403495788574,0.13113737106323242,0.131272554397583
