step,train_time,quantize_time,aggregate_time,dequantize_time,elasp_time
0_1,2.988006591796875,0.1831657886505127,0.023990392684936523,0.013952970504760742,0.22153139114379883
0_2,0.15599989891052246,0.18352961540222168,0.023663997650146484,0.012700080871582031,0.22030901908874512
0_3,0.14574098587036133,0.17954611778259277,0.022454023361206055,0.014297246932983398,0.2167959213256836
0_4,0.14137887954711914,0.18459725379943848,0.023884296417236328,0.013329267501831055,0.2222602367401123
0_5,0.15955376625061035,0.17795228958129883,0.022919178009033203,0.015536069869995117,0.2168593406677246
0_6,0.14014649391174316,0.18192601203918457,0.02493739128112793,0.013308525085449219,0.22131705284118652
0_7,0.15068411827087402,0.1793532371520996,0.022386789321899414,0.014078140258789062,0.21628665924072266
0_8,0.13794827461242676,0.1785275936126709,0.023703813552856445,0.013382673263549805,0.21622395515441895
0_9,0.1445631980895996,0.1844196319580078,0.0234067440032959,0.013735294342041016,0.2223374843597412
0_10,0.13960909843444824,0.1791059970855713,0.023899078369140625,0.013108015060424805,0.2165389060974121
0_11,0.14225196838378906,0.1883401870727539,0.024281978607177734,0.012975692749023438,0.22666239738464355
0_12,0.13214612007141113,0.17763447761535645,0.02335810661315918,0.013215065002441406,0.21563935279846191
0_13,0.14447760581970215,0.1789073944091797,0.027286529541015625,0.013812541961669922,0.22157526016235352
0_14,0.14247703552246094,0.18360352516174316,0.023859262466430664,0.013351202011108398,0.221235990524292
0_15,0.1346893310546875,0.17756009101867676,0.024486303329467773,0.013689517974853516,0.21634578704833984
0_16,0.14207959175109863,0.18595480918884277,0.02326512336730957,0.013329744338989258,0.22301936149597168
0_17,0.13986802101135254,0.17865800857543945,0.02216792106628418,0.013685464859008789,0.2149345874786377
0_18,0.13704228401184082,0.18125009536743164,0.02540421485900879,0.012895345687866211,0.22001028060913086
0_19,0.13959336280822754,0.17975997924804688,0.02400684356689453,0.013273477554321289,0.21846389770507812
0_20,0.1357102394104004,0.17699575424194336,0.023581743240356445,0.013369321823120117,0.21438860893249512
0_21,0.1541767120361328,0.17875313758850098,0.022692441940307617,0.013242959976196289,0.21512818336486816
0_22,0.1352071762084961,0.1783759593963623,0.024505138397216797,0.013226985931396484,0.2165541648864746
0_23,0.13251447677612305,0.17908501625061035,0.02308058738708496,0.013815879821777344,0.2164146900177002
0_24,0.13824105262756348,0.17879772186279297,0.026099205017089844,0.014526605606079102,0.22595477104187012
0_25,0.1383354663848877,0.183182954788208,0.023075103759765625,0.013669490814208984,0.2206425666809082
0_26,0.13498806953430176,0.17936277389526367,0.02409839630126953,0.013317346572875977,0.21722126007080078
0_27,0.13703393936157227,0.1807725429534912,0.023680448532104492,0.013270854949951172,0.21814489364624023
0_28,0.13601207733154297,0.18125629425048828,0.0260312557220459,0.014258861541748047,0.22218036651611328
0_29,0.13525962829589844,0.177415132522583,0.02378225326538086,0.013279914855957031,0.2149066925048828
0_30,0.1342027187347412,0.18105435371398926,0.022812366485595703,0.013919353485107422,0.21820449829101562
0_31,0.1304316520690918,0.17740130424499512,0.023169994354248047,0.014084100723266602,0.21512842178344727
0_32,0.12738800048828125,0.18265509605407715,0.02354121208190918,0.012585163116455078,0.21930289268493652
0_33,0.12810921669006348,0.17757320404052734,0.023339271545410156,0.0140380859375,0.21536898612976074
0_34,0.12857437133789062,0.18045639991760254,0.023609161376953125,0.013652563095092773,0.21814656257629395
0_35,0.12744569778442383,0.17957568168640137,0.023122787475585938,0.013518810272216797,0.21666693687438965
0_36,0.12510418891906738,0.1820693016052246,0.024235010147094727,0.012997865676879883,0.21976017951965332
0_37,0.12925386428833008,0.18155384063720703,0.023668527603149414,0.013584375381469727,0.21923255920410156
0_38,0.12489104270935059,0.1790754795074463,0.0253143310546875,0.014375686645507812,0.2191917896270752
0_39,0.1264195442199707,0.1826610565185547,0.023781776428222656,0.013442754745483398,0.22030043601989746
0_40,0.17604327201843262,0.17835760116577148,0.023803234100341797,0.013757467269897461,0.21633076667785645
1_1,0.14000391960144043,0.1831498146057129,0.023355484008789062,0.013384819030761719,0.22031641006469727
1_2,0.14703059196472168,0.18227767944335938,0.023615598678588867,0.013315200805664062,0.21964073181152344
1_3,0.14025139808654785,0.17882919311523438,0.02335977554321289,0.013915538787841797,0.21651172637939453
1_4,0.15167784690856934,0.18035197257995605,0.023546695709228516,0.015336990356445312,0.22038912773132324
1_5,0.13395977020263672,0.1782534122467041,0.024346351623535156,0.013986349105834961,0.21781253814697266
1_6,0.14354157447814941,0.17841315269470215,0.02415776252746582,0.013297796249389648,0.21629881858825684
1_7,0.15616726875305176,0.1753077507019043,0.023777008056640625,0.01355123519897461,0.21304559707641602
1_8,0.15213418006896973,0.18029260635375977,0.02374100685119629,0.01271200180053711,0.21717095375061035
1_9,0.14595341682434082,0.18333721160888672,0.024584293365478516,0.013848304748535156,0.22342634201049805
1_10,0.15669965744018555,0.18507122993469238,0.023555994033813477,0.013178586959838867,0.22320556640625
1_11,0.1428678035736084,0.179032564163208,0.024063825607299805,0.013912200927734375,0.21778345108032227
1_12,0.14199542999267578,0.1832895278930664,0.02519392967224121,0.015533924102783203,0.2251605987548828
1_13,0.1402435302734375,0.18422484397888184,0.023307085037231445,0.013646364212036133,0.22188162803649902
1_14,0.13901114463806152,0.18265986442565918,0.024004220962524414,0.013948202133178711,0.22102141380310059
1_15,0.16414809226989746,0.18158459663391113,0.024554967880249023,0.013345956802368164,0.21995782852172852
1_16,0.14518308639526367,0.18360042572021484,0.024029970169067383,0.013993978500366211,0.22234773635864258
1_17,0.1496896743774414,0.1783764362335205,0.023336410522460938,0.014317512512207031,0.21645212173461914
1_18,0.16389203071594238,0.1778249740600586,0.022707462310791016,0.013628244400024414,0.21471357345581055
1_19,0.15081000328063965,0.18065452575683594,0.023481369018554688,0.013271808624267578,0.2178201675415039
1_20,0.1533646583557129,0.18385863304138184,0.024339914321899414,0.01305079460144043,0.22172236442565918
1_21,0.16254234313964844,0.17701506614685059,0.02498459815979004,0.015439748764038086,0.21886968612670898
1_22,0.15363717079162598,0.20354032516479492,0.027216672897338867,0.016375064849853516,0.2486131191253662
1_23,0.30123353004455566,0.18383502960205078,0.022820472717285156,0.014031410217285156,0.22232770919799805
1_24,0.15165424346923828,0.17924928665161133,0.023322582244873047,0.013848066329956055,0.21709752082824707
1_25,0.15366101264953613,0.1799936294555664,0.02329421043395996,0.013448238372802734,0.21721982955932617
1_26,0.17427968978881836,0.18910932540893555,0.023943662643432617,0.014216184616088867,0.22882699966430664
1_27,0.14907288551330566,0.1831662654876709,0.0236968994140625,0.013145208358764648,0.2204430103302002
