step,train_loss,train_accuracy,test_loss,test_accuracy
0,2.1544718742370605,0.23455999791622162,2.0815255641937256,0.2166
1,1.949724555015564,0.32010000944137573,2.021821975708008,0.284
2,1.8534257411956787,0.35694000124931335,1.825379490852356,0.3305
3,1.8064804077148438,0.3720000088214874,1.7555623054504395,0.3756
4,1.731437087059021,0.3969799876213074,1.7466870546340942,0.3557
5,1.7144775390625,0.40742000937461853,1.656137466430664,0.4083
6,1.6560074090957642,0.42579999566078186,1.6728230714797974,0.3928
7,1.6168445348739624,0.43606001138687134,1.5647841691970825,0.4487
8,1.5974313020706177,0.44683998823165894,1.7700923681259155,0.3749
9,1.5865776538848877,0.4534800052642822,1.5707664489746094,0.4445
10,1.549081563949585,0.46281999349594116,1.5739433765411377,0.4316
11,1.5559591054916382,0.46007999777793884,1.5711994171142578,0.4407
12,1.5074803829193115,0.48137998580932617,1.5173131227493286,0.4592
13,1.4895159006118774,0.48489999771118164,1.625962734222412,0.4419
14,1.4928407669067383,0.48532000184059143,1.594308614730835,0.4302
15,1.4848978519439697,0.4844599962234497,1.5387598276138306,0.4455
16,1.4642828702926636,0.49893999099731445,1.4356368780136108,0.4875
17,1.432985782623291,0.5063199996948242,1.4495363235473633,0.4853
18,1.4231348037719727,0.5084599852561951,1.3859033584594727,0.508
19,1.4027493000030518,0.5175600051879883,1.5375006198883057,0.4645
20,1.4367854595184326,0.5073800086975098,1.5442593097686768,0.4648
21,1.400866150856018,0.5174400210380554,1.4613611698150635,0.4804
22,1.3930151462554932,0.5218999981880188,1.382387638092041,0.5046
23,1.3794887065887451,0.5299999713897705,1.4247552156448364,0.4895
24,1.349315881729126,0.5422800183296204,1.432870626449585,0.4984
25,1.3264992237091064,0.5453199744224548,1.442796230316162,0.4971
26,1.320181965827942,0.550000011920929,1.3049958944320679,0.5289
27,1.2992217540740967,0.557200014591217,1.338899850845337,0.5311
28,1.2831883430480957,0.5629600286483765,1.3287583589553833,0.5267
29,1.2719389200210571,0.5643600225448608,1.323944091796875,0.5232
30,1.249578833580017,0.5751399993896484,1.3459053039550781,0.5283
31,1.282407522201538,0.5623000264167786,1.4527497291564941,0.4844
32,1.2637872695922852,0.5744400024414062,1.4076013565063477,0.4801
33,1.2248914241790771,0.587939977645874,1.2650721073150635,0.5505
34,1.2187546491622925,0.5852400064468384,1.2445926666259766,0.5598
35,1.2684764862060547,0.5692200064659119,1.3516570329666138,0.5167
36,1.225328803062439,0.5825200080871582,1.2760083675384521,0.5512
37,1.2319085597991943,0.5804600119590759,1.3120901584625244,0.5267
38,1.199028491973877,0.5956199765205383,1.320038914680481,0.5293
39,1.2223366498947144,0.5863999724388123,1.3897150754928589,0.5071
40,1.2035019397735596,0.5936800241470337,1.2311702966690063,0.5661
41,1.1934617757797241,0.594539999961853,1.2236524820327759,0.5717
42,1.1570355892181396,0.6055999994277954,1.2071757316589355,0.5692
43,1.190058946609497,0.5898399949073792,1.2075144052505493,0.5755
44,1.1673842668533325,0.6039199829101562,1.24335777759552,0.5637
45,1.1641383171081543,0.6102399826049805,1.1905131340026855,0.5893
46,1.174574851989746,0.601859986782074,1.139745831489563,0.6072
47,1.1470187902450562,0.6122999787330627,1.12886381149292,0.6096
48,1.150803804397583,0.6126400232315063,1.1599485874176025,0.5894
49,1.1250550746917725,0.6211199760437012,1.157423973083496,0.5968
50,1.1660983562469482,0.604640007019043,1.183449387550354,0.5789
51,1.161483883857727,0.6104999780654907,1.1935919523239136,0.5802
52,1.123412847518921,0.6213399767875671,1.1547043323516846,0.5911
53,1.1137478351593018,0.6283599734306335,1.3090388774871826,0.5493
54,1.1075094938278198,0.6286799907684326,1.2057414054870605,0.5764
55,1.0796571969985962,0.6370999813079834,1.1376891136169434,0.6011
56,1.1066802740097046,0.626259982585907,1.2481459379196167,0.558
57,1.0930147171020508,0.6352999806404114,1.3236925601959229,0.5554
58,1.0858142375946045,0.6359000205993652,1.2297369241714478,0.561
59,1.0752224922180176,0.6383399963378906,1.0743670463562012,0.6268
60,1.066943883895874,0.6442000269889832,1.1456420421600342,0.6012
61,1.0563414096832275,0.6497799754142761,1.166777491569519,0.6014
62,1.0514849424362183,0.6514999866485596,1.0542185306549072,0.6321
63,1.0492024421691895,0.6469799876213074,1.065565586090088,0.6341
64,1.0504381656646729,0.6480399966239929,1.1492422819137573,0.5963
65,1.0252927541732788,0.6550999879837036,1.2557138204574585,0.5688
66,1.0383782386779785,0.6532599925994873,1.101050853729248,0.6247
67,0.9921269416809082,0.6657999753952026,1.1194404363632202,0.6116
68,1.0186028480529785,0.6589800119400024,1.1413646936416626,0.5965
69,0.9899131655693054,0.6678199768066406,1.071235179901123,0.6294
70,1.0242944955825806,0.6564199924468994,1.0927857160568237,0.6155
71,1.033164143562317,0.6564599871635437,1.1177939176559448,0.6142
72,1.0167700052261353,0.6611999869346619,0.9966232180595398,0.6549
73,0.9912154078483582,0.6693999767303467,1.084245204925537,0.6183
74,0.9758782386779785,0.6745799779891968,1.1396349668502808,0.5991
75,1.001068115234375,0.666159987449646,1.0696125030517578,0.6328
76,0.9802242517471313,0.6721000075340271,1.1162524223327637,0.6039
77,0.9741848111152649,0.6785799860954285,1.1828173398971558,0.5927
78,0.960392951965332,0.6823800206184387,1.0641857385635376,0.6329
79,0.9579097628593445,0.6811400055885315,1.0960382223129272,0.6223
80,0.9785041809082031,0.6734399795532227,1.2309132814407349,0.5835
81,0.9812156558036804,0.6764199733734131,1.1160414218902588,0.6052
82,0.9537383913993835,0.6862199902534485,1.1054701805114746,0.6091
83,0.9241669774055481,0.6972200274467468,1.193961262702942,0.5821
84,0.9834294319152832,0.674839973449707,0.9981363415718079,0.6553
85,0.9455639123916626,0.6852200031280518,1.0662535429000854,0.628
86,0.9450616836547852,0.6880000233650208,1.1627713441848755,0.5989
