step,train_time,aggregate_time,elapsed time
0_1,2.9853460788726807,0.011771440505981445,0.011906147003173828
0_2,0.13394975662231445,0.011636018753051758,0.011760234832763672
0_3,0.13899993896484375,0.011609554290771484,0.011736869812011719
0_4,0.14092278480529785,0.012115478515625,0.012251615524291992
0_5,0.1309802532196045,0.011951208114624023,0.0120849609375
0_6,0.13515210151672363,0.011186361312866211,0.011320352554321289
0_7,0.1356370449066162,0.011763811111450195,0.01190638542175293
0_8,0.13783550262451172,0.012022256851196289,0.012151718139648438
0_9,0.1338193416595459,0.012146234512329102,0.012275218963623047
0_10,0.13698339462280273,0.011684179306030273,0.011811256408691406
0_11,0.134033203125,0.011695384979248047,0.011826753616333008
0_12,0.13792061805725098,0.012747764587402344,0.012886524200439453
0_13,0.13981318473815918,0.012315034866333008,0.012446165084838867
0_14,0.13945269584655762,0.012038230895996094,0.012170791625976562
0_15,0.13394618034362793,0.01168060302734375,0.011814355850219727
0_16,0.1404097080230713,0.011928081512451172,0.012057065963745117
0_17,0.1387791633605957,0.012299776077270508,0.012426614761352539
0_18,0.13618087768554688,0.011861085891723633,0.011992931365966797
0_19,0.13329577445983887,0.011892557144165039,0.012025594711303711
0_20,0.1339735984802246,0.011576175689697266,0.011708259582519531
0_21,0.1325826644897461,0.011737346649169922,0.011864900588989258
0_22,0.13158941268920898,0.011721611022949219,0.01184988021850586
0_23,0.13478899002075195,0.012004852294921875,0.012135028839111328
0_24,0.1380319595336914,0.012116432189941406,0.012244462966918945
0_25,0.13388419151306152,0.011977434158325195,0.012105941772460938
0_26,0.13675856590270996,0.01359105110168457,0.013738155364990234
0_27,0.13837695121765137,0.011995315551757812,0.012125015258789062
0_28,0.14084815979003906,0.011962890625,0.012090206146240234
0_29,0.13675761222839355,0.012397050857543945,0.012522459030151367
0_30,0.1394944190979004,0.012019634246826172,0.012157440185546875
0_31,0.1303713321685791,0.012245655059814453,0.012397050857543945
0_32,0.12613964080810547,0.012617826461791992,0.012745380401611328
0_33,0.1276094913482666,0.012343883514404297,0.012475252151489258
0_34,0.12762451171875,0.011941909790039062,0.01207876205444336
0_35,0.12672948837280273,0.012043952941894531,0.012170553207397461
0_36,0.13004159927368164,0.01148080825805664,0.011608362197875977
0_37,0.1271200180053711,0.012480974197387695,0.012612342834472656
0_38,0.13072681427001953,0.011480093002319336,0.011606931686401367
0_39,0.12598228454589844,0.012176275253295898,0.012303590774536133
0_40,0.18596744537353516,0.012011528015136719,0.012140274047851562
1_1,0.12688851356506348,0.012128353118896484,0.012258291244506836
1_2,0.13852500915527344,0.01203465461730957,0.012166738510131836
1_3,0.13497376441955566,0.011852264404296875,0.011981010437011719
1_4,0.14360427856445312,0.011969566345214844,0.012097835540771484
1_5,0.13444924354553223,0.011983394622802734,0.01211404800415039
1_6,0.13931894302368164,0.012080192565917969,0.012209892272949219
1_7,0.13966631889343262,0.011630058288574219,0.01175832748413086
1_8,0.13565492630004883,0.012248516082763672,0.012376070022583008
1_9,0.1394059658050537,0.011910438537597656,0.012038469314575195
1_10,0.13485264778137207,0.012035369873046875,0.012165307998657227
1_11,0.13560056686401367,0.011951684951782227,0.012081623077392578
1_12,0.13735103607177734,0.011932373046875,0.012070178985595703
1_13,0.13992643356323242,0.011976003646850586,0.012101888656616211
1_14,0.12913846969604492,0.012354135513305664,0.012482404708862305
1_15,0.1440112590789795,0.01163339614868164,0.011765241622924805
1_16,0.1489391326904297,0.011993646621704102,0.01212167739868164
1_17,0.14285492897033691,0.011968851089477539,0.012097358703613281
1_18,0.1425619125366211,0.011986017227172852,0.012117862701416016
1_19,0.1427311897277832,0.011880636215209961,0.012012004852294922
1_20,0.14060020446777344,0.011799097061157227,0.011932134628295898
1_21,0.13368630409240723,0.011797666549682617,0.011928558349609375
1_22,0.14203763008117676,0.012079715728759766,0.012206315994262695
1_23,0.13869547843933105,0.011606216430664062,0.011736392974853516
1_24,0.13896727561950684,0.011934995651245117,0.012067317962646484
1_25,0.1386890411376953,0.014287233352661133,0.014443635940551758
1_26,0.13706517219543457,0.012366294860839844,0.012494325637817383
1_27,0.13965535163879395,0.011806964874267578,0.011937856674194336
1_28,0.1351490020751953,0.011945962905883789,0.012075662612915039
1_29,0.13776135444641113,0.012223958969116211,0.012349843978881836
1_30,0.13670611381530762,0.011989593505859375,0.012120246887207031
1_31,0.13486337661743164,0.011583328247070312,0.011711597442626953
1_32,0.1260221004486084,0.011807680130004883,0.011948108673095703
1_33,0.1276862621307373,0.011998176574707031,0.012129783630371094
1_34,0.1299152374267578,0.012015819549560547,0.012142181396484375
1_35,0.1308431625366211,0.011570215225219727,0.011705875396728516
1_36,0.1266613006591797,0.012352943420410156,0.012483358383178711
1_37,0.13053536415100098,0.013664722442626953,0.01379084587097168
1_38,0.1264796257019043,0.012320756912231445,0.012459754943847656
1_39,0.12908148765563965,0.011417865753173828,0.011549949645996094
1_40,0.12532663345336914,0.012165069580078125,0.01229548454284668
2_1,0.12642741203308105,0.012013435363769531,0.01214146614074707
2_2,0.13935565948486328,0.011713266372680664,0.01185154914855957
2_3,0.14433670043945312,0.011868953704833984,0.011997461318969727
2_4,0.14094042778015137,0.011847496032714844,0.011976957321166992
2_5,0.14278626441955566,0.011759519577026367,0.011889457702636719
2_6,0.1295607089996338,0.011666297912597656,0.011794805526733398
2_7,0.1404111385345459,0.01158761978149414,0.011722564697265625
2_8,0.13576245307922363,0.012021780014038086,0.012151002883911133
2_9,0.13776230812072754,0.01208353042602539,0.012208700180053711
2_10,0.13789153099060059,0.01169443130493164,0.011824369430541992
2_11,0.14214563369750977,0.012238740921020508,0.012367725372314453
2_12,0.1430356502532959,0.011814117431640625,0.011942863464355469
2_13,0.13309931755065918,0.011758804321289062,0.011888265609741211
2_14,0.1411287784576416,0.012232542037963867,0.012359619140625
2_15,0.14080190658569336,0.011625051498413086,0.011751651763916016
2_16,0.13811850547790527,0.012377262115478516,0.012507200241088867
2_17,0.1326444149017334,0.011889457702636719,0.012019157409667969
2_18,0.13740301132202148,0.011574268341064453,0.01170492172241211
2_19,0.13795781135559082,0.011758565902709961,0.01189112663269043
2_20,0.1404564380645752,0.012024879455566406,0.012155294418334961
2_21,0.14629673957824707,0.012007951736450195,0.012137889862060547
2_22,0.12973809242248535,0.011785030364990234,0.011914491653442383
2_23,0.13392901420593262,0.012059926986694336,0.012189149856567383
2_24,0.13462018966674805,0.011811256408691406,0.011938095092773438
2_25,0.14579510688781738,0.011671781539916992,0.011802434921264648
2_26,0.14303135871887207,0.012202024459838867,0.012330055236816406
2_27,0.14133882522583008,0.011631488800048828,0.01176595687866211
2_28,0.13489913940429688,0.012375354766845703,0.012502193450927734
2_29,0.13291454315185547,0.011989831924438477,0.012121915817260742
2_30,0.13541817665100098,0.011597633361816406,0.011730670928955078
2_31,0.1290433406829834,0.01145792007446289,0.011583805084228516
2_32,0.12770462036132812,0.012163877487182617,0.012293338775634766
2_33,0.12752914428710938,0.01163792610168457,0.011763334274291992
2_34,0.13431692123413086,0.011484622955322266,0.011612415313720703
2_35,0.1257932186126709,0.012480974197387695,0.012610197067260742
2_36,0.12615275382995605,0.012068748474121094,0.01219940185546875
2_37,0.12649011611938477,0.012233972549438477,0.012364625930786133
2_38,0.12852931022644043,0.011935710906982422,0.012066841125488281
2_39,0.12712955474853516,0.01196146011352539,0.012090682983398438
2_40,0.11834263801574707,0.012033462524414062,0.012163162231445312
3_1,0.1286787986755371,0.01187753677368164,0.012011528015136719
3_2,0.14409613609313965,0.011972904205322266,0.0121002197265625
3_3,0.13063406944274902,0.011929988861083984,0.012053251266479492
3_4,0.13948917388916016,0.011794090270996094,0.011921167373657227
3_5,0.14267778396606445,0.011651039123535156,0.011780261993408203
3_6,0.145430326461792,0.012289047241210938,0.012417793273925781
3_7,0.14242982864379883,0.011870384216308594,0.012000799179077148
3_8,0.13431048393249512,0.011875629425048828,0.012005090713500977
3_9,0.13559579849243164,0.011730432510375977,0.011859893798828125
3_10,0.1364595890045166,0.012019157409667969,0.012145757675170898
3_11,0.14146804809570312,0.011947154998779297,0.01209712028503418
3_12,0.12978315353393555,0.011608600616455078,0.011734962463378906
3_13,0.14077115058898926,0.011749982833862305,0.011878252029418945
3_14,0.14175629615783691,0.011911630630493164,0.012048721313476562
3_15,0.14670205116271973,0.012045145034790039,0.012174129486083984
3_16,0.1407320499420166,0.012054443359375,0.012184858322143555
3_17,0.13897490501403809,0.011911392211914062,0.01204061508178711
3_18,0.13937067985534668,0.011718988418579102,0.011844396591186523
3_19,0.13828063011169434,0.012358665466308594,0.012481212615966797
3_20,0.14157986640930176,0.012034893035888672,0.012161016464233398
3_21,0.1404421329498291,0.012223243713378906,0.012351512908935547
3_22,0.14143681526184082,0.011905431747436523,0.012046098709106445
3_23,0.14232492446899414,0.01168680191040039,0.01181340217590332
3_24,0.1452646255493164,0.011729717254638672,0.01186227798461914
3_25,0.13708090782165527,0.011780500411987305,0.011912107467651367
3_26,0.13302040100097656,0.01183462142944336,0.011967182159423828
3_27,0.13580083847045898,0.011550188064575195,0.011682987213134766
3_28,0.14309239387512207,0.012532949447631836,0.012668132781982422
3_29,0.1416783332824707,0.011698722839355469,0.011825799942016602
3_30,0.13962292671203613,0.012740850448608398,0.012865304946899414
3_31,0.1289064884185791,0.011861801147460938,0.011991739273071289
3_32,0.12723398208618164,0.011724710464477539,0.011854410171508789
3_33,0.12999820709228516,0.011869192123413086,0.011997461318969727
3_34,0.12692952156066895,0.012144088745117188,0.012273550033569336
3_35,0.1268444061279297,0.011993885040283203,0.01212620735168457
3_36,0.12708020210266113,0.012099742889404297,0.012227296829223633
3_37,0.12872838973999023,0.012117862701416016,0.012249231338500977
3_38,0.13086533546447754,0.011600255966186523,0.011728763580322266
3_39,0.12835907936096191,0.012552499771118164,0.012692928314208984
3_40,0.12244844436645508,0.012229681015014648,0.012359619140625
4_1,0.12685751914978027,0.011868476867675781,0.011999368667602539
4_2,0.13889074325561523,0.011782407760620117,0.011914968490600586
4_3,0.13483905792236328,0.012109994888305664,0.012235164642333984
4_4,0.1343085765838623,0.011707782745361328,0.01183938980102539
4_5,0.1332378387451172,0.012169122695922852,0.01229715347290039
4_6,0.14477014541625977,0.011507511138916016,0.011641263961791992
4_7,0.14033293724060059,0.011617183685302734,0.011744976043701172
4_8,0.1295790672302246,0.012189149856567383,0.012317180633544922
4_9,0.13244843482971191,0.013157367706298828,0.013295650482177734
4_10,0.13698744773864746,0.011615514755249023,0.011745452880859375
4_11,0.13982677459716797,0.011948823928833008,0.012078523635864258
4_12,0.13646602630615234,0.01163935661315918,0.011768102645874023
4_13,0.13902711868286133,0.011687994003295898,0.011820316314697266
4_14,0.14242815971374512,0.01198124885559082,0.012111425399780273
4_15,0.13429617881774902,0.011558294296264648,0.011687994003295898
4_16,0.1368710994720459,0.011732101440429688,0.011866569519042969
4_17,0.13951969146728516,0.012113571166992188,0.012241125106811523
4_18,0.13302206993103027,0.012763261795043945,0.012895345687866211
4_19,0.14113831520080566,0.011736631393432617,0.01186990737915039
4_20,0.13695478439331055,0.013364553451538086,0.013490676879882812
4_21,0.13804316520690918,0.01179051399230957,0.011918067932128906
4_22,0.1376659870147705,0.011992216110229492,0.012123823165893555
4_23,0.14511466026306152,0.011929988861083984,0.01206064224243164
4_24,0.1394948959350586,0.011565208435058594,0.011696338653564453
4_25,0.1446540355682373,0.011994600296020508,0.012133121490478516
4_26,0.13661456108093262,0.011560916900634766,0.011699676513671875
4_27,0.1416339874267578,0.011600732803344727,0.011729955673217773
