step,train_loss,train_accuracy,jaccard index(JA),dice coefficient(DI),Accuracy(AC),sensitivity(SE),specificity(SP)
0,0.5413600206375122,0.7372192144393921,0.0015671994592158973,0.7375570933024088,0.0029524061034674177,0.0015903795053230395,0.9972569455881045
1,0.7074643969535828,0.742840588092804,0.040732232100713535,0.7430349985758463,0.0701353243789261,0.04075872139068584,0.9994502832751615
2,0.49343550205230713,0.7978439331054688,0.18821719995458766,0.8027636210123698,0.2655337885934661,0.20458047823921777,0.9803617737050212
