step,train_loss,train_accuracy,jaccard index(JA),dice coefficient(DI),Accuracy(AC),sensitivity(SE),specificity(SP)
65,0.4170612096786499,0.7854511141777039,0.7081001321020568,0.8956813812255859,0.8316272001267033,0.7577022740840724,0.9305897628280463
66,0.41625502705574036,0.7867636680603027,0.5760889225636393,0.8733882904052734,0.6892790941128233,0.7161195150959414,0.9279250811350914
67,0.41458860039711,0.7882883548736572,0.44708856382518897,0.8904438018798828,0.5595774785893414,0.5005881313148567,0.974889565040185
68,0.4125843048095703,0.789824366569519,0.44036410089847133,0.8942756652832031,0.5777294029019843,0.44036410089847133,1.0
69,0.41139695048332214,0.7910908460617065,0.5188699044412457,0.8784751892089844,0.6808877845800683,0.5188699044412457,1.0
70,0.41412004828453064,0.7911520004272461,0.43254701272537976,0.7954311370849609,0.5486315968661296,0.5516154635165071,0.9782644291243612
71,0.4130467176437378,0.7923928499221802,0.6205698939973431,0.8804912567138672,0.7361274082408413,0.7273658933558308,0.9564223120216119
72,0.41294074058532715,0.7937266230583191,0.7456499145150383,0.8897590637207031,0.8470806829526737,0.7716349251254861,0.9918136181608818
73,0.41293153166770935,0.7949466705322266,0.48219583911859,0.8840103149414062,0.5830182978299783,0.7817498531166324,0.9275283567760366
74,0.41186314821243286,0.7964655756950378,0.5084425838084602,0.9088649749755859,0.6572144930710963,0.727927461120393,0.937472782014419
75,0.411512553691864,0.7968234419822693,0.4924859069804326,0.8236656188964844,0.6130746476238508,0.4939126712521905,0.9997322147573693
76,0.4105972945690155,0.797767162322998,0.3257398057545049,0.8694858551025391,0.40089848594346067,0.3490880333061389,0.9985193704018336
77,0.4097301661968231,0.7985106110572815,0.3505408985827034,0.8557586669921875,0.4839784191217137,0.35864025183060116,0.9991308205054429
78,0.4099768102169037,0.7989439964294434,0.49953027755735124,0.8327465057373047,0.5915388039576066,0.5135538551186482,0.99806498142065
79,0.40851259231567383,0.8002802133560181,0.5718020004085672,0.9058399200439453,0.7139332422076425,0.5776114732897346,0.9975640548686152
80,0.4069787561893463,0.8019407391548157,0.7739173931542085,0.9347820281982422,0.8740082970527215,0.8048091748439345,0.9939005527157077
81,0.40544161200523376,0.8036615252494812,0.6030346679705654,0.9430446624755859,0.7466249194000195,0.6234841066041032,0.9958441425614828
82,0.4047508239746094,0.804276168346405,0.4822622014735453,0.85467529296875,0.642046199445942,0.4822622014735453,1.0
83,0.40619000792503357,0.8043085932731628,0.4543793407984905,0.8069953918457031,0.5552505565333379,0.48926040293274964,0.9948791855401005
84,0.4062177836894989,0.8048542737960815,0.5160436005637168,0.8506927490234375,0.6804820324687724,0.5188480156260734,0.999031353429653
85,0.4074338972568512,0.804892361164093,0.5408302897465473,0.8081283569335938,0.6799486246555452,0.5556720406806243,0.9521957233346087
86,0.4054012596607208,0.8062502145767212,0.4574600249789924,0.9230232238769531,0.5711294764428404,0.46980034752890565,0.9966650110744562
87,0.40459108352661133,0.806983232498169,0.6235069965471138,0.8707599639892578,0.7477626650954641,0.7847543311254062,0.9351212925258261
88,0.4038108289241791,0.8077199459075928,0.5580270003823536,0.8725490570068359,0.6650905049421432,0.9374982163725809,0.8563968086133964
89,0.4024274945259094,0.8087981939315796,0.48787066811932167,0.9047622680664062,0.6127950550190033,0.5244077589291252,0.9972939083968007
90,0.4012835919857025,0.8094567060470581,0.48907052290877073,0.8687210083007812,0.6106986451676729,0.5793273050445065,0.9273965115882025
91,0.40098273754119873,0.8102605938911438,0.5172743724359652,0.8834114074707031,0.6531160121103023,0.5430756661546968,0.9915863515937646
92,0.3995198607444763,0.81160968542099,0.5732749671095921,0.9357223510742188,0.7097024977673632,0.5849401464054961,0.9931329394635887
93,0.3976638615131378,0.8129507303237915,0.5596972389097615,0.9376697540283203,0.6976532668490619,0.5717330107455273,0.9887200551105596
94,0.3979894816875458,0.8133817911148071,0.5930145554018978,0.8539085388183594,0.7469365128940122,0.5930784732314488,0.9999834612331304
95,0.3969506025314331,0.8138545155525208,0.4637579223563702,0.8587665557861328,0.6129554416204586,0.6097025143046532,0.9192009833259256
96,0.3945859670639038,0.8153401613235474,0.592475614170873,0.9579582214355469,0.7210452819327595,0.6088585444799844,0.9930562505173095
97,0.39241519570350647,0.8164761662483215,0.5100425633645709,0.9266700744628906,0.6330945215592872,0.5100425633645709,1.0
98,0.39154720306396484,0.817175567150116,0.490193187068311,0.8857212066650391,0.6107688168826729,0.5926628051760168,0.9792909356018581
99,0.39041751623153687,0.8180691599845886,0.5601696787704097,0.9065303802490234,0.702375799162058,0.5826712824534217,0.9871498713628293
100,0.3896094560623169,0.8187280297279358,0.5949731023126227,0.884613037109375,0.7251235910684565,0.6689747233977716,0.9601158297072018
101,0.3894157111644745,0.8190944790840149,0.6354577001122365,0.8561115264892578,0.7385288151722119,0.9197393563511826,0.8911405901265523
102,0.38910242915153503,0.8198153972625732,0.5874216595671612,0.8933467864990234,0.6982285326050243,0.7636168280233147,0.9399381089322563
103,0.3884502053260803,0.8203786015510559,0.5603392580216069,0.878387451171875,0.7011182000479996,0.6323015587831804,0.9840325960165719
104,0.38806888461112976,0.8212277293205261,0.663055669510348,0.9095363616943359,0.7933735304764342,0.6960013050271705,0.9793273412541267
105,0.38712605834007263,0.8219912648200989,0.6237203961787433,0.9021587371826172,0.7739453481032854,0.6237272388913001,0.9999974644516116
106,0.38758447766304016,0.8223029971122742,0.6812592493701508,0.8553428649902344,0.7865506939476298,0.7969099523471839,0.9392650003957154
107,0.3863814175128937,0.8232150673866272,0.6755797097293257,0.9208030700683594,0.7904565735737628,0.773239406207251,0.9762329882217109
108,0.3844381272792816,0.8243958950042725,0.5885551603877562,0.9519290924072266,0.6708867771061545,0.7322604002150891,0.9684781626959003
109,0.3826679289340973,0.8256335854530334,0.7155741237676674,0.960540771484375,0.8148620631029501,0.7306045999148884,0.9968073081062406
110,0.38363662362098694,0.8259574174880981,0.6248337808108397,0.8615798950195312,0.7336196945532976,0.835153049008327,0.9412200599187595
111,0.3840610682964325,0.8260602951049805,0.39982751837138375,0.8374824523925781,0.49204399893246653,0.41392378272251185,0.9906203496021618
112,0.383034348487854,0.8263446688652039,0.6413616445440622,0.8581905364990234,0.7415816341951162,0.7745392404860517,0.906721373533868
113,0.38272565603256226,0.8264618515968323,0.6654777113544865,0.8397045135498047,0.7582795562550575,0.8186070627635169,0.8359057349403572
114,0.3827069401741028,0.826593279838562,0.5569667696112488,0.8415756225585938,0.6509140242295524,0.6951425226792982,0.969696596474564
115,0.3833690285682678,0.8266388177871704,0.43845455261139843,0.8318805694580078,0.5465091427432174,0.4527567460413888,0.9891431306997837
116,0.38267281651496887,0.827478289604187,0.6398123773723056,0.9248466491699219,0.7504753972363862,0.7264438097772962,0.9957907834635848
117,0.381539911031723,0.8282979130744934,0.47001858229778254,0.9241905212402344,0.5943518892838885,0.5235983913894627,0.9922255221055828
118,0.38223937153816223,0.828414261341095,0.5943931481935848,0.8421516418457031,0.712481563073169,0.6042762730326073,0.9972075261216684
119,0.38145309686660767,0.8291641473770142,0.6109227111597342,0.9183998107910156,0.7150219603299927,0.7239495472703869,0.990809519691795
120,0.38033634424209595,0.8300854563713074,0.577774930977405,0.940643310546875,0.6900210728001201,0.6914065407423964,0.9778144301217266
121,0.37904036045074463,0.8310611248016357,0.6122609983182543,0.9491214752197266,0.7185407402254869,0.647150098021376,0.9864221653227946
122,0.3799130320549011,0.8309393525123596,0.5929195097682551,0.8160839080810547,0.7193751756142007,0.6065834962849356,0.9766167234057769
123,0.37931427359580994,0.831668496131897,0.6928534172609095,0.9213523864746094,0.8026783251595998,0.7989370077551645,0.9801271812569484
124,0.377891480922699,0.8325024247169495,0.6805297407819554,0.9359092712402344,0.774627870724016,0.8036684351507288,0.9804932700472294
125,0.3767428696155548,0.8332856297492981,0.7321334844185272,0.9311866760253906,0.8265140685707165,0.818474441957291,0.9740783680233001
126,0.37520352005958557,0.8341778516769409,0.6436479071949148,0.9466037750244141,0.7561458991414489,0.8181939111514465,0.9862990664444593
127,0.37350958585739136,0.8352010846138,0.7860467357335366,0.9651470184326172,0.8688551069472937,0.8291712787603374,0.9934343883528476
128,0.3730316460132599,0.835371196269989,0.3810098813525422,0.8571491241455078,0.47273195065849166,0.5755045997200634,0.9447040153060519
129,0.37359023094177246,0.8358473181724548,0.6141507709498439,0.8972625732421875,0.7299258591540373,0.7970561025849611,0.9751711127991076
130,0.37282857298851013,0.8365338444709778,0.7252157162509082,0.9257926940917969,0.8158711270089661,0.8978597542256566,0.9615595249875541
131,0.37258440256118774,0.8370181918144226,0.7627232982712449,0.9004631042480469,0.8477676371823314,0.8719054443818701,0.9521066720180833
132,0.372231662273407,0.837131917476654,0.5444816893681338,0.8521385192871094,0.651001007961944,0.764971581682907,0.9031194287952916
133,0.37150728702545166,0.8377262949943542,0.600368513905013,0.9167823791503906,0.7048283400991368,0.906440835705009,0.9431754084194305
134,0.3713875114917755,0.8381290435791016,0.659772853173095,0.8920993804931641,0.7444351612198462,0.8191035586240146,0.931572975288011
135,0.3694809377193451,0.8391110301017761,0.762019351635983,0.9716815948486328,0.8497471237202648,0.8604507498130631,0.9921449471870333
136,0.3707468807697296,0.8389859199523926,0.5684047675797472,0.8219699859619141,0.6854537996068362,0.6663337133043865,0.9501852061496047
137,0.36976358294487,0.8396437764167786,0.7378336804580843,0.9297733306884766,0.815368599872545,0.8605260071318983,0.9567512518265235
138,0.36892107129096985,0.840368390083313,0.7462975970407607,0.9403629302978516,0.816895485186075,0.7575859467738252,0.996068286911167
139,0.3679262697696686,0.8411031365394592,0.688138963892682,0.9432373046875,0.8137431611063867,0.7168321949674714,0.9874387938532878
140,0.3679361045360565,0.8413698673248291,0.6520787614790677,0.8787117004394531,0.7509111281322326,0.7068434180417265,0.9956869255878051
141,0.3673914968967438,0.8418676257133484,0.5929046080695587,0.9120559692382812,0.7008975233900582,0.6486956515810527,0.9702472349500388
142,0.3682907223701477,0.8419105410575867,0.6606490809465237,0.8479957580566406,0.758418177842866,0.7571661416396488,0.9782852139415339
143,0.36741843819618225,0.8425726294517517,0.6941538454869405,0.937255859375,0.7955455394941912,0.7738789043491814,0.9944216296756624
144,0.3674922287464142,0.8426684737205505,0.5340282815298592,0.8564701080322266,0.6882168585300289,0.5354829937412436,0.9982516113574992
145,0.36677324771881104,0.8431426882743835,0.6735070933709433,0.9119033813476562,0.759957300788352,0.6887385519876263,0.9914498446869466
146,0.36842790246009827,0.8428081274032593,0.6345376915230381,0.7939643859863281,0.7204252394448145,0.717406986909455,0.9545612388689562
147,0.36780235171318054,0.8434232473373413,0.7113723022324507,0.9338455200195312,0.8084648555457615,0.8026116425564972,0.9778584388547509
148,0.3673856258392334,0.8439590334892273,0.7479791913192823,0.9232540130615234,0.8574922246896741,0.7594644269586778,0.9887314095445208
149,0.3661968410015106,0.8446156978607178,0.573642633059336,0.9424610137939453,0.7025973660015845,0.6173979166415156,0.9838758295889425
150,0.36652523279190063,0.8446351885795593,0.4412059448651363,0.8475685119628906,0.545298281486846,0.4413443849394601,0.9999128022726279
151,0.3665033280849457,0.8448440432548523,0.5696198843743878,0.8763675689697266,0.7353847493189456,0.5722618493462427,0.9996762564511323
152,0.36555546522140503,0.8455382585525513,0.8253069914750943,0.9510593414306641,0.8979807548259008,0.8977792859679031,0.9735995457493319
153,0.3655691146850586,0.8459415435791016,0.6544870077795447,0.9076404571533203,0.7830562102178329,0.6737135027369756,0.9961626324767867
154,0.36455273628234863,0.8467002511024475,0.706253888469421,0.9635467529296875,0.788332540421008,0.9208550484845777,0.9883038176085005
155,0.36432722210884094,0.8467276096343994,0.46270229766530097,0.8509750366210938,0.5984847091775916,0.7719022248682126,0.916457789416476
156,0.3632254898548126,0.8475427031517029,0.8165642749256485,0.9747028350830078,0.8869949787025828,0.9009961915717424,0.993714567966551
157,0.3628937304019928,0.8478431105613708,0.6069567332570371,0.8950004577636719,0.7091934933116123,0.6480094220281575,0.9896881354380439
158,0.3621865510940552,0.8483508825302124,0.6725399858297473,0.9285659790039062,0.7682702989035818,0.6800681839623764,0.9988994193415425
159,0.3617781698703766,0.8487358093261719,0.6087727053609638,0.9099407196044922,0.7181017477293579,0.610740512605777,0.999495341691086
160,0.3621329367160797,0.8488740921020508,0.48623964735422964,0.8709964752197266,0.6335879327933723,0.6634216594692118,0.9617219134056569
161,0.36157476902008057,0.8493638038635254,0.660301159939277,0.9282035827636719,0.7631280042939548,0.8850456604640047,0.9656578010886292
162,0.36234617233276367,0.8490259647369385,0.5434698325729859,0.7942924499511719,0.6478676572180218,0.8281639384784708,0.9087641971454743
163,0.36163750290870667,0.8492707014083862,0.5311362811084228,0.88916015625,0.6344796573167406,0.9126499796848149,0.9073524284897118
164,0.36117491126060486,0.8497880697250366,0.6662526758416671,0.9346294403076172,0.7595058520896336,0.7154218194955225,0.9915921898794386
165,0.36201149225234985,0.8497702479362488,0.6710955767688264,0.8468246459960938,0.765516620242653,0.7224243624641078,0.9865366813704314
166,0.36154845356941223,0.8501883149147034,0.7189671100794717,0.9195899963378906,0.8184223471210874,0.8067745623144331,0.9891925010478414
167,0.36168456077575684,0.8502929210662842,0.4926130459942039,0.8677749633789062,0.6001770464360328,0.5329033995760667,0.9749512360158471
168,0.36187076568603516,0.8505873084068298,0.6126674210371976,0.9000415802001953,0.7028314393795368,0.7383940223279905,0.990634498456504
169,0.36207765340805054,0.8507745265960693,0.6337543277357789,0.8824176788330078,0.7543385454981549,0.7821462442348867,0.9766431698005201
170,0.3613504469394684,0.8513102531433105,0.5398485973641532,0.9423866271972656,0.6252886409895477,0.8097588010522605,0.9704052003569061
