step,train_loss,train_accuracy,test_loss,test_accuracy
0,2.169938087463379,0.24473999440670013,2.024484634399414,0.2788
1,1.964648962020874,0.31057998538017273,1.9053062200546265,0.3169
2,1.8707984685897827,0.3446600139141083,1.8141266107559204,0.366
3,1.8113734722137451,0.3661400079727173,1.7505285739898682,0.3881
4,1.7505643367767334,0.3866400122642517,1.7580925226211548,0.3749
5,1.7100404500961304,0.40487998723983765,1.6650382280349731,0.4083
6,1.666360855102539,0.42041999101638794,1.625075340270996,0.4081
7,1.6467244625091553,0.4241600036621094,1.6166799068450928,0.4102
8,1.580789566040039,0.4507000148296356,1.5378334522247314,0.4465
9,1.594285249710083,0.44547998905181885,1.6068576574325562,0.4302
10,1.581484079360962,0.44901999831199646,1.7012771368026733,0.4103
11,1.542041301727295,0.46663999557495117,1.5447468757629395,0.4613
12,1.512792706489563,0.4745999872684479,1.5008652210235596,0.4569
13,1.4963456392288208,0.479559987783432,1.515336275100708,0.444
14,1.4692354202270508,0.4899600148200989,1.4930238723754883,0.4604
15,1.467254638671875,0.4906800091266632,1.3926252126693726,0.5109
16,1.4434154033660889,0.4985400140285492,1.3944783210754395,0.508
17,1.4203135967254639,0.5102999806404114,1.4448034763336182,0.4889
18,1.4261963367462158,0.5105199813842773,1.4151437282562256,0.4948
19,1.4123098850250244,0.5140600204467773,1.4465417861938477,0.4844
