step,train_time,aggregate_time,elapsed time
0_1,0.7366983890533447,0.0010418891906738281,0.7071564197540283
0_2,0.1546778678894043,0.0010423660278320312,0.007009267807006836
0_3,0.13005352020263672,0.0012059211730957031,0.005901336669921875
0_4,0.16560578346252441,0.0011441707611083984,0.015335321426391602
0_5,0.16315913200378418,0.0011982917785644531,0.006327629089355469
0_6,0.18517422676086426,0.0012743473052978516,0.006518840789794922
0_7,0.18926048278808594,0.0014030933380126953,0.00642848014831543
0_8,0.17807459831237793,0.0010609626770019531,0.00561213493347168
0_9,0.15291619300842285,0.0010805130004882812,0.011468648910522461
0_10,0.12904644012451172,0.0013072490692138672,0.00567317008972168
0_11,0.1963653564453125,0.007346391677856445,0.011123895645141602
0_12,0.10763120651245117,0.0009958744049072266,0.004750490188598633
0_13,0.10843586921691895,0.0010149478912353516,0.0046253204345703125
0_14,0.12292790412902832,0.0010669231414794922,0.00487065315246582
0_15,0.10633516311645508,0.0009419918060302734,0.00470423698425293
