step,train_loss
0,0.26551932096481323
1,0.1814344972372055
2,0.1508997529745102
3,0.13618531823158264
4,0.1266370713710785
5,0.11829546838998795
6,0.10958826541900635
7,0.09973520785570145
8,0.08838896453380585
9,0.0766197144985199
10,0.06571190059185028
11,0.056858234107494354
12,0.05047730356454849
