step,train_loss,train_accuracy,jaccard index(JA),dice coefficient(DI),Accuracy(AC),sensitivity(SE),specificity(SP)
0,0.6823838949203491,0.0,0.0,0.06735909937216222,0.0,0.0,0.12499954870383241
1,0.656008243560791,0.0,0.0,0.08754526091585099,0.0,0.0,0.1249968897821396
2,0.6027337908744812,0.0,0.0,0.0,0.0,0.0,0.0
3,0.5595170259475708,0.0,0.0,0.0,0.0,0.0,0.0
4,0.5393088459968567,0.0,0.0,0.0,0.0,0.0,0.0
5,0.5372563004493713,0.0,0.0,0.0,0.0,0.0,0.0
6,0.5258650183677673,0.0,0.0,0.0,0.0,0.0,0.0
7,0.5026822090148926,0.0,0.0,0.0,0.0,0.0,0.0
8,0.5085970163345337,0.0,0.0,0.0,0.0,0.0,0.0
9,0.498361200094223,0.0,0.0,0.0,0.0,0.0,0.0
10,0.4943681061267853,0.0,0.0,0.0,0.0,0.0,0.0
11,0.4945584833621979,0.0,0.0,0.0,0.0,0.0,0.0
12,0.4881798028945923,0.0,0.0,0.0,0.0,0.0,0.0
13,0.4906422793865204,0.0,0.0,0.0,0.0,0.0,0.0
14,0.4877433180809021,0.0,0.0,0.0,0.0,0.0,0.0
15,0.4909871816635132,0.0,0.0,0.0,0.0,0.0,0.0
16,0.4896758496761322,0.0,0.0,0.0,0.0,0.0,0.0
17,0.48351621627807617,0.0,0.0,0.0,0.0,0.0,0.0
18,0.48647600412368774,0.0,0.0,0.0,0.0,0.0,0.0
19,0.47837749123573303,0.0,0.0,0.0,0.0,0.0,0.0
20,0.4753836989402771,0.0,0.0,0.0,0.0,0.0,0.0
21,0.4735428988933563,0.0,0.0,0.0,0.0,0.0,0.0
22,0.47386065125465393,0.0,0.0,0.0,0.0,0.0,0.0
23,0.46968796849250793,0.0,0.0,0.0,0.0,0.0,0.0
24,0.4638676047325134,0.0,0.0,0.0,0.0,0.0,0.0
25,0.4667249917984009,0.0,0.0,0.0,0.0,0.0,0.0
26,0.4638364911079407,0.0,0.0,0.0,0.0,0.0,0.0
27,0.46196526288986206,0.0,0.0,0.0,0.0,0.0,0.0
28,0.46196913719177246,0.0,0.0,0.0,0.0,0.0,0.0
29,0.46070823073387146,0.0,0.0,0.0,0.0,0.0,0.0
30,0.45888760685920715,0.0,0.0,0.0,0.0,0.0,0.0
31,0.4503233730792999,0.0,0.06772500709148656,0.11955536701071119,0.08785186742701415,0.06772500709148656,0.1249999999999734
32,0.44629964232444763,0.0,0.026216286598353553,0.10627706193297326,0.04334236607063825,0.026216286598353553,0.12499999999997015
33,0.4421662986278534,0.0,0.04620206196490127,0.11352137336203573,0.06746715173087886,0.04670837575686364,0.12476938725796945
34,0.4411727488040924,0.0,0.07605999346738931,0.11426003165492729,0.09457375402696133,0.07659619863798464,0.12475446179756883
35,0.44267740845680237,0.0,0.038035651278478876,0.1017060139644135,0.05832413183897846,0.05862839225255716,0.11076622739950491
