step,train_time,quantize_time,aggregate_time,dequantize_time,elasp_time
0_1,3.7360875606536865,0.8839025497436523,0.3344414234161377,0.40035581588745117,1.6192295551300049
0_2,0.1470658779144287,0.9755947589874268,0.3464391231536865,0.40076708793640137,1.7234864234924316
0_3,0.20200419425964355,1.1353933811187744,0.3594331741333008,0.3683736324310303,1.8640918731689453
0_4,0.14629030227661133,1.055992841720581,0.3622879981994629,0.3874671459197998,1.8066880702972412
0_5,0.1495354175567627,1.0502169132232666,0.3396320343017578,0.40081214904785156,1.7913503646850586
0_6,0.17519426345825195,1.0236856937408447,0.40528082847595215,0.37798142433166504,1.8081917762756348
0_7,0.19095635414123535,1.0546510219573975,0.3281872272491455,0.36977624893188477,1.7530860900878906
0_8,0.12806153297424316,1.0290403366088867,0.36031007766723633,0.547126293182373,1.938230276107788
0_9,0.14547443389892578,0.9437875747680664,0.3215320110321045,0.34947800636291504,1.6154849529266357
0_10,0.21234607696533203,1.4192187786102295,0.32082557678222656,0.34938979148864746,2.0900614261627197
0_11,0.16563940048217773,0.9966292381286621,0.33293604850769043,0.4208097457885742,1.7511663436889648
0_12,0.16086935997009277,1.0256321430206299,0.31107211112976074,0.3649427890777588,1.7021324634552002
0_13,0.31688642501831055,0.9735815525054932,0.3358275890350342,0.3916749954223633,1.7020139694213867
0_14,0.17036867141723633,1.120220422744751,0.34105587005615234,0.4636397361755371,1.9256303310394287
0_15,0.14352941513061523,0.9629006385803223,0.4535996913909912,0.4518146514892578,1.869474172592163
0_16,0.15643644332885742,0.9723982810974121,0.3000516891479492,0.3724653720855713,1.6459581851959229
0_17,0.16579604148864746,1.0647802352905273,0.3138141632080078,0.38573217391967773,1.7654054164886475
0_18,0.18348264694213867,0.9774363040924072,0.33860349655151367,0.3799924850463867,1.696746587753296
0_19,0.14333605766296387,1.047900915145874,0.3469986915588379,0.4227924346923828,1.8186860084533691
0_20,0.23711395263671875,0.9702858924865723,0.29668545722961426,0.40296411514282227,1.6711292266845703
0_21,0.19785237312316895,1.1083331108093262,0.360992431640625,0.38045263290405273,1.8512887954711914
0_22,0.1461048126220703,0.9356839656829834,0.28539299964904785,0.4249410629272461,1.6467406749725342
0_23,0.17232131958007812,1.1860620975494385,0.29291820526123047,0.3874928951263428,1.8678054809570312
0_24,0.1795368194580078,1.0062808990478516,0.33899760246276855,0.4288909435272217,1.7756569385528564
0_25,0.1520218849182129,1.0166668891906738,0.27272629737854004,0.38059329986572266,1.6705706119537354
0_26,0.2958829402923584,0.9845929145812988,0.3379638195037842,0.450270414352417,1.773390769958496
0_27,0.1845715045928955,1.1570143699645996,0.3999476432800293,0.42591238021850586,1.9837183952331543
