step,train_time,quantize_time,encrypt_time,aggregate_time,decrypt_time,dequantize_time,elasp_time
0_1,0.10200190544128418,0.07502961158752441,0.11000251770019531,0.02900385856628418,0.010994672775268555,0.03400158882141113,0.321000337600708
0_2,0.06400299072265625,0.07800006866455078,0.10900092124938965,0.0240023136138916,0.009995222091674805,0.032001495361328125,0.29566073417663574
0_3,0.06302738189697266,0.07199978828430176,0.11499857902526855,0.023000240325927734,0.010001182556152344,0.03111410140991211,0.3071126937866211
0_4,0.0729982852935791,0.08099603652954102,0.12399792671203613,0.02299976348876953,0.009998798370361328,0.03200221061706543,0.3139963150024414
0_5,0.06399941444396973,0.07499933242797852,0.1106710433959961,0.023000001907348633,0.010003805160522461,0.02899789810180664,0.29468846321105957
0_6,0.06000471115112305,0.07281684875488281,0.11300373077392578,0.023000478744506836,0.010003805160522461,0.02976250648498535,0.2905709743499756
0_7,0.06399989128112793,0.07197690010070801,0.10900378227233887,0.02099919319152832,0.009998798370361328,0.030013561248779297,0.287996768951416
0_8,0.058997392654418945,0.06799197196960449,0.1060950756072998,0.022998571395874023,0.009002685546875,0.029972553253173828,0.2790870666503906
0_9,0.06000041961669922,0.06902027130126953,0.10700011253356934,0.02499985694885254,0.009991168975830078,0.03052663803100586,0.2845315933227539
0_10,0.05799746513366699,0.06800174713134766,0.1099998950958252,0.024001121520996094,0.009995460510253906,0.031003713607788086,0.28358888626098633
0_11,0.0599973201751709,0.06813764572143555,0.10399699211120605,0.024998903274536133,0.011002063751220703,0.033998727798461914,0.2861366271972656
0_12,0.06499791145324707,0.07499933242797852,0.11200070381164551,0.024001121520996094,0.012001276016235352,0.032000064849853516,0.29900240898132324
0_13,0.061998844146728516,0.07199287414550781,0.11363601684570312,0.024978160858154297,0.010000228881835938,0.03099989891052246,0.29365062713623047
0_14,0.058000802993774414,0.0745995044708252,0.10299849510192871,0.02498912811279297,0.01100015640258789,0.032002925872802734,0.29059314727783203
0_15,0.06199955940246582,0.07299447059631348,0.10400009155273438,0.0260007381439209,0.00998234748840332,0.06000018119812012,0.32099485397338867
0_16,0.06099867820739746,0.07666802406311035,0.10700154304504395,0.026002168655395508,0.010000944137573242,0.0319974422454834,0.2956676483154297
0_17,0.06499528884887695,0.07000350952148438,0.10499954223632812,0.026000499725341797,0.010999441146850586,0.03400063514709473,0.2890164852142334
0_18,0.06199932098388672,0.07299995422363281,0.10200071334838867,0.026000261306762695,0.010999202728271484,0.03199887275695801,0.28673434257507324
0_19,0.060999393463134766,0.0709989070892334,0.10699796676635742,0.026621341705322266,0.011002540588378906,0.03499937057495117,0.30061864852905273
0_20,0.06300735473632812,0.07499933242797852,0.1080019474029541,0.026997804641723633,0.010999202728271484,0.03400278091430664,0.2980012893676758
0_21,0.06100010871887207,0.06999802589416504,0.10564517974853516,0.025017261505126953,0.01198267936706543,0.03099846839904785,0.2876451015472412
0_22,0.06099843978881836,0.07299470901489258,0.10202264785766602,0.026998043060302734,0.010004997253417969,0.03300166130065918,0.2920246124267578
0_23,0.05899810791015625,0.07000184059143066,0.09901738166809082,0.025986194610595703,0.010989189147949219,0.031999826431274414,0.28499913215637207
0_24,0.06599688529968262,0.07657885551452637,0.10300016403198242,0.029001712799072266,0.011001348495483398,0.03500103950500488,0.2995798587799072
0_25,0.062001943588256836,0.07800054550170898,0.11099934577941895,0.028000593185424805,0.01100015640258789,0.038002729415893555,0.3149991035461426
0_26,0.06899642944335938,0.07699728012084961,0.10499882698059082,0.02899909019470215,0.010614633560180664,0.033002614974975586,0.29961228370666504
0_27,0.06099891662597656,0.0709986686706543,0.09999632835388184,0.027002573013305664,0.010999917984008789,0.033997535705566406,0.2879970073699951
0_28,0.058995723724365234,0.07099437713623047,0.10200142860412598,0.029997825622558594,0.009995460510253906,0.03600573539733887,0.29399585723876953
0_29,0.061002254486083984,0.0760035514831543,0.11051607131958008,0.0270235538482666,0.010999202728271484,0.03400158882141113,0.3355226516723633
0_30,0.0599977970123291,0.07200193405151367,0.09807467460632324,0.027999401092529297,0.01100468635559082,0.03399944305419922,0.29107236862182617
0_31,0.06353092193603516,0.07399988174438477,0.10100245475769043,0.028002023696899414,0.011000633239746094,0.03300046920776367,0.2919962406158447
0_32,0.06061434745788574,0.07199406623840332,0.09999728202819824,0.02800464630126953,0.010995864868164062,0.03439831733703613,0.2931857109069824
0_33,0.059996843338012695,0.07201552391052246,0.0970005989074707,0.032000064849853516,0.011002540588378906,0.03499650955200195,0.29400110244750977
0_34,0.06299853324890137,0.07999849319458008,0.09802412986755371,0.02860879898071289,0.011000871658325195,0.03700113296508789,0.3016090393066406
0_35,0.06499767303466797,0.07528829574584961,0.09999847412109375,0.029001712799072266,0.010004520416259766,0.03499889373779297,0.2952873706817627
0_36,0.06199765205383301,0.07799863815307617,0.10099911689758301,0.031033754348754883,0.010999679565429688,0.03500247001647949,0.30299949645996094
0_37,0.06599879264831543,0.08059954643249512,0.1011502742767334,0.030999422073364258,0.012002229690551758,0.034995317459106445,0.30375242233276367
0_38,0.06000089645385742,0.07593750953674316,0.10299968719482422,0.03300166130065918,0.01299738883972168,0.03900885581970215,0.31293559074401855
0_39,0.06000208854675293,0.0749967098236084,0.09946823120117188,0.02899909019470215,0.011999845504760742,0.036002397537231445,0.2991361618041992
0_40,0.06199240684509277,0.10003280639648438,0.0986940860748291,0.027997493743896484,0.012000083923339844,0.03599691390991211,0.32172465324401855
0_41,0.06480026245117188,0.08399844169616699,0.11100292205810547,0.030998945236206055,0.011003255844116211,0.03600001335144043,0.31999897956848145
0_42,0.06599569320678711,0.0769965648651123,0.10251545906066895,0.03101944923400879,0.012977361679077148,0.03600358963012695,0.3095993995666504
0_43,0.06299591064453125,0.0769960880279541,0.09885311126708984,0.0299985408782959,0.011001348495483398,0.03602123260498047,0.2968466281890869
0_44,0.05801510810852051,0.07399678230285645,0.10500121116638184,0.03065633773803711,0.014000177383422852,0.037000417709350586,0.31026744842529297
0_45,0.06599831581115723,0.07799577713012695,0.10400676727294922,0.029999256134033203,0.011997222900390625,0.037001609802246094,0.3119986057281494
0_46,0.06499528884887695,0.07799863815307617,0.10399866104125977,0.03200364112854004,0.013000249862670898,0.03499746322631836,0.30700016021728516
0_47,0.06099820137023926,0.07402467727661133,0.09897637367248535,0.030998945236206055,0.012002706527709961,0.03499960899353027,0.2959940433502197
1_1,0.06300044059753418,0.07700872421264648,0.10100173950195312,0.030000686645507812,0.01600170135498047,0.03799796104431152,0.3080010414123535
1_2,0.06099748611450195,0.07699918746948242,0.09870290756225586,0.02998518943786621,0.011994600296020508,0.03801727294921875,0.30467891693115234
