step,train_time,aggregate_time,elapsed time
0_1,0.527273416519165,0.05187344551086426,0.052208900451660156
0_2,0.516059160232544,0.00818777084350586,0.008328676223754883
0_3,0.4444313049316406,0.007536649703979492,0.007802009582519531
0_4,0.5246150493621826,0.009768247604370117,0.010191202163696289
0_5,0.4455122947692871,0.011986255645751953,0.012276649475097656
0_6,0.45862841606140137,0.0070438385009765625,0.007186174392700195
0_7,0.4558877944946289,0.00823831558227539,0.008376359939575195
0_8,0.4252290725708008,0.007261037826538086,0.0077228546142578125
0_9,0.44170093536376953,0.0072345733642578125,0.007693052291870117
0_10,0.4511845111846924,0.0072596073150634766,0.0074045658111572266
0_11,0.44810986518859863,0.0072405338287353516,0.007405281066894531
0_12,0.43677234649658203,0.00983285903930664,0.009981393814086914
0_13,0.4309241771697998,0.007162809371948242,0.007444858551025391
0_14,0.44783830642700195,0.009021520614624023,0.009175300598144531
0_15,0.4620852470397949,0.007114410400390625,0.007256507873535156
0_16,0.46122074127197266,0.009251594543457031,0.009512662887573242
0_17,0.4366719722747803,0.007291555404663086,0.007543087005615234
0_18,0.4399116039276123,0.007044315338134766,0.007184028625488281
0_19,0.440305233001709,0.007107973098754883,0.007455587387084961
0_20,0.45390892028808594,0.011479377746582031,0.012232065200805664
0_21,0.4453310966491699,0.009810447692871094,0.009952545166015625
0_22,0.4432523250579834,0.012302637100219727,0.012778282165527344
0_23,0.45064687728881836,0.008007526397705078,0.00821375846862793
0_24,0.5254659652709961,0.007063865661621094,0.0072154998779296875
0_25,0.42955780029296875,0.00878143310546875,0.008976459503173828
0_26,0.43888068199157715,0.007972240447998047,0.008163690567016602
0_27,0.4527275562286377,0.010544538497924805,0.010790586471557617
0_28,0.43796706199645996,0.0069692134857177734,0.007112979888916016
0_29,0.4520847797393799,0.00769805908203125,0.007951736450195312
0_30,0.4457859992980957,0.006922483444213867,0.0070743560791015625
0_31,0.44925594329833984,0.011164426803588867,0.011400938034057617
0_32,0.45327329635620117,0.009271860122680664,0.009415149688720703
0_33,0.44357824325561523,0.010221242904663086,0.010487556457519531
0_34,0.43488597869873047,0.0077953338623046875,0.00870370864868164
0_35,0.4536471366882324,0.010698795318603516,0.01090550422668457
0_36,0.4424405097961426,0.007256031036376953,0.007448434829711914
0_37,0.4479339122772217,0.009740114212036133,0.01001882553100586
0_38,0.4521324634552002,0.007447719573974609,0.007612705230712891
0_39,0.46148061752319336,0.012300729751586914,0.012520313262939453
0_40,0.45003724098205566,0.006997108459472656,0.007147789001464844
0_41,0.44225335121154785,0.010266542434692383,0.010416984558105469
0_42,0.4334225654602051,0.0071485042572021484,0.007300376892089844
0_43,0.4383866786956787,0.006922721862792969,0.007069110870361328
0_44,0.44035792350769043,0.007134675979614258,0.007277965545654297
0_45,0.4436981678009033,0.006928682327270508,0.007391691207885742
0_46,0.47365379333496094,0.0074863433837890625,0.007633209228515625
0_47,0.45066046714782715,0.007598400115966797,0.007871866226196289
0_48,0.445831298828125,0.006886482238769531,0.0070302486419677734
0_49,0.4403676986694336,0.006920576095581055,0.007175922393798828
0_50,0.4315981864929199,0.007031917572021484,0.0071904659271240234
0_51,0.4406247138977051,0.011050701141357422,0.01199030876159668
0_52,0.4474031925201416,0.007764577865600586,0.008298158645629883
0_53,0.45544886589050293,0.010170221328735352,0.010529041290283203
0_54,0.4337310791015625,0.0070056915283203125,0.007163524627685547
0_55,0.4515211582183838,0.00704503059387207,0.007189512252807617
0_56,0.45607423782348633,0.006931304931640625,0.0070955753326416016
0_57,0.46254801750183105,0.0069582462310791016,0.007108449935913086
0_58,0.44879150390625,0.008797407150268555,0.008956670761108398
0_59,0.4392833709716797,0.00878596305847168,0.009124994277954102
0_60,0.445695161819458,0.010213375091552734,0.01078343391418457
0_61,0.4433736801147461,0.008730411529541016,0.009022712707519531
0_62,0.426893949508667,0.007121086120605469,0.007263660430908203
0_63,0.468552827835083,0.007703304290771484,0.007983922958374023
0_64,0.4502265453338623,0.007898807525634766,0.00807332992553711
0_65,0.46203184127807617,0.01013636589050293,0.010296821594238281
0_66,0.4521634578704834,0.007905721664428711,0.008053779602050781
0_67,0.45998144149780273,0.00829315185546875,0.00903177261352539
0_68,0.501410722732544,0.008397817611694336,0.008980751037597656
0_69,0.45049309730529785,0.01190185546875,0.012385845184326172
0_70,0.4378774166107178,0.012752771377563477,0.01290750503540039
0_71,0.43668484687805176,0.007027149200439453,0.007174491882324219
0_72,0.44905638694763184,0.007831811904907227,0.008288860321044922
0_73,0.45630836486816406,0.006994724273681641,0.007142782211303711
0_74,0.44887781143188477,0.007310390472412109,0.0074536800384521484
0_75,0.4523336887359619,0.007977008819580078,0.008125543594360352
0_76,0.4630413055419922,0.007075786590576172,0.007222652435302734
0_77,0.45277905464172363,0.00697016716003418,0.007223367691040039
