step,train_loss
0,0.26351773738861084
1,0.17796429991722107
2,0.1484726369380951
3,0.13444136083126068
4,0.12492802739143372
5,0.11639779061079025
6,0.10737352818250656
7,0.09706933796405792
8,0.08582785725593567
9,0.07457305490970612
10,0.06466740369796753
11,0.0567408986389637
12,0.0510403998196125
13,0.04664541408419609
14,0.04356267675757408
15,0.041170720010995865
16,0.03936412185430527
17,0.03788020834326744
18,0.03666992112994194
19,0.035648543387651443
20,0.034828461706638336
21,0.03411787375807762
22,0.03350072354078293
23,0.0328981988132
24,0.03241044282913208
25,0.03203292191028595
26,0.0315927192568779
27,0.03131428733468056
28,0.03087993524968624
29,0.030642451718449593
30,0.030343011021614075
31,0.030041711404919624
32,0.029891757294535637
33,0.029580077156424522
34,0.029353918507695198
35,0.02911074459552765
36,0.028990479186177254
37,0.02873522788286209
38,0.02855261042714119
39,0.028401756659150124
40,0.028219960629940033
41,0.028098760172724724
42,0.027924679219722748
43,0.02785244956612587
44,0.02755105309188366
45,0.027382930740714073
46,0.02729850634932518
47,0.027273662388324738
48,0.02712368406355381
49,0.026949483901262283
