step,train_loss,train_accuracy,jaccard index(JA),dice coefficient(DI),Accuracy(AC),sensitivity(SE),specificity(SP)
0,0.6927376389503479,0.0,0.0,0.6631584167480469,0.0,0.0,1.0
1,0.6927339434623718,0.0,0.0,0.6050548553466797,0.0,0.0,1.0
2,0.6927245259284973,0.0,0.31073958495650666,0.3055381774902344,0.4289778522653268,0.9804830235490893,0.0314980048971002
3,0.6927009224891663,0.0,0.17431905384822527,0.1718616485595703,0.26655619881509063,0.9995109457881636,0.01520455037888644
4,0.6927053332328796,0.0,0.11159789418010574,0.10868644714355469,0.17284741538714754,0.9912627326135169,0.011849252653090217
