step,train_loss,train_accuracy,jaccard index(JA),dice coefficient(DI),Accuracy(AC),sensitivity(SE),specificity(SP)
32,0.5465341806411743,0.7726059556007385,0.0,0.830413818359375,0.0,0.0,1.0
33,0.5530110597610474,0.7720968127250671,0.0,0.7552947998046875,0.0,0.0,1.0
34,0.554253876209259,0.7739480137825012,0.0,0.8368892669677734,0.0,0.0,1.0
35,0.563351571559906,0.7743594646453857,0.0,0.7887611389160156,0.0,0.0,1.0
36,0.5666252374649048,0.7754562497138977,0.0,0.8149394989013672,0.0,0.0,1.0
37,0.5679005980491638,0.7760616540908813,0.0,0.7984619140625,0.0,0.0,1.0
38,0.5712536573410034,0.7769544720649719,0.0,0.8108806610107422,0.0,0.0,1.0
39,0.5777494311332703,0.776820719242096,0.0,0.7716045379638672,0.0,0.0,1.0
40,0.5799263119697571,0.7778574228286743,0.0,0.8193264007568359,0.0,0.0,1.0
41,0.5794615149497986,0.7797926068305969,0.0,0.8591327667236328,0.0,0.0,1.0
42,0.5930337309837341,0.7778921127319336,0.0,0.6980705261230469,0.0,0.0,1.0
43,0.5971113443374634,0.7788501977920532,0.0,0.8200492858886719,0.0,0.0,1.0
44,0.5992994904518127,0.7794744968414307,0.0,0.8069419860839844,0.0,0.0,1.0
45,0.6045077443122864,0.7805383205413818,0.0,0.8284091949462891,0.0,0.0,1.0
46,0.6122575998306274,0.7803742289543152,0.0,0.7728271484375,0.0,0.0,1.0
47,0.6206071972846985,0.7798061966896057,0.0,0.7531089782714844,0.0,0.0,1.0
48,0.62530517578125,0.7811142206192017,0.0,0.8439006805419922,0.0,0.0,1.0
49,0.6493476629257202,0.7771556377410889,0.0,0.5831832885742188,0.0,0.0,1.0
50,0.6708993911743164,0.7739774584770203,0.0,0.6150703430175781,0.0,0.0,1.0
51,0.6695658564567566,0.7756303548812866,0.0,0.8599300384521484,0.0,0.0,1.0
52,0.6639159321784973,0.7782697081565857,0.0,0.9155158996582031,0.0,0.0,1.0
53,0.6882564425468445,0.7756638526916504,0.0,0.6375541687011719,0.0,0.0,1.0
54,0.6942648887634277,0.7749248147010803,0.0,0.7350177764892578,0.0,0.0,1.0
55,0.6927527785301208,0.7766644358634949,0.0,0.872344970703125,0.0,0.0,1.0
56,0.6966325640678406,0.7771615982055664,0.0,0.8050003051757812,0.0,0.0,1.0
57,0.6919731497764587,0.7793039083480835,0.0,0.9014167785644531,0.0,0.0,1.0
58,0.6940317153930664,0.7804351449012756,0.0,0.8460464477539062,0.0,0.0,1.0
59,0.6940209865570068,0.7815850973129272,0.0,0.8494338989257812,0.0,0.0,1.0
60,0.6963261961936951,0.7823050022125244,0.0,0.8254985809326172,0.0,0.0,1.0
61,0.7019912004470825,0.781963586807251,0.0,0.7611408233642578,0.0,0.0,1.0
62,0.7182706594467163,0.7806594967842102,0.0,0.6998062133789062,0.0,0.0,1.0
63,0.7257861495018005,0.7804208993911743,0.0,0.7653865814208984,0.0,0.0,1.0
64,0.7283691167831421,0.7809334397315979,0.0,0.8137340545654297,0.0,0.0,1.0
65,0.7348814010620117,0.780464231967926,0.0,0.7499656677246094,0.0,0.0,1.0
66,0.7397267818450928,0.7803825736045837,0.0,0.774993896484375,0.0,0.0,1.0
67,0.7519780993461609,0.7793726921081543,0.0,0.7117080688476562,0.0,0.0,1.0
68,0.760404646396637,0.7794245481491089,0.0,0.7829513549804688,0.0,0.0,1.0
69,0.7574564814567566,0.7810771465301514,0.0,0.8951053619384766,0.0,0.0,1.0
70,0.777431070804596,0.7792147994041443,0.0,0.6488475799560547,0.0,0.0,1.0
71,0.7890818119049072,0.7779250144958496,0.0,0.6863517761230469,0.0,0.0,1.0
72,0.7994081974029541,0.777072548866272,0.0,0.7156944274902344,0.0,0.0,1.0
73,0.8031295537948608,0.7776825428009033,0.0,0.8222122192382812,0.0,0.0,1.0
74,0.8048540353775024,0.7783253788948059,0.0,0.8258991241455078,0.0,0.0,1.0
75,0.8020020723342896,0.779582679271698,0.0,0.8738803863525391,0.0,0.0,1.0
76,0.818092405796051,0.778630256652832,0.0,0.7062435150146484,0.0,0.0,1.0
77,0.829355776309967,0.7786011099815369,0.0,0.7763595581054688,0.0,0.0,1.0
78,0.8457695841789246,0.7782790660858154,0.0,0.7531566619873047,0.0,0.0,1.0
79,0.8515451550483704,0.7787657976150513,0.0,0.8172168731689453,0.0,0.0,1.0
80,0.8586175441741943,0.7793598175048828,0.0,0.8268814086914062,0.0,0.0,1.0
81,0.8764976859092712,0.7788687348365784,0.0,0.7390937805175781,0.0,0.0,1.0
82,0.8915224075317383,0.7788084149360657,0.0,0.7738571166992188,0.0,0.0,1.0
83,0.917494535446167,0.7772200703620911,0.0,0.6453857421875,0.0,0.0,1.0
84,0.9247387051582336,0.7780408263206482,0.0,0.8469886779785156,0.0,0.0,1.0
85,0.9601176977157593,0.7763831615447998,0.0,0.6354827880859375,0.0,0.0,1.0
86,0.9726952910423279,0.7769799828529358,0.0,0.8283061981201172,0.0,0.0,1.0
87,0.9967586994171143,0.7768127918243408,0.0,0.7622718811035156,0.0,0.0,1.0
88,1.0057684183120728,0.7778248190879822,0.0,0.86688232421875,0.0,0.0,1.0
89,1.0206810235977173,0.7786083817481995,0.0,0.8483390808105469,0.0,0.0,1.0
90,1.0333999395370483,0.7791640162467957,0.0,0.8291683197021484,0.0,0.0,1.0
91,1.0682308673858643,0.7790453433990479,0.0,0.7682514190673828,0.0,0.0,1.0
92,1.0934609174728394,0.7791115641593933,0.0,0.7852020263671875,0.0,0.0,1.0
93,1.138445258140564,0.7784863114356995,0.0,0.7203388214111328,0.0,0.0,1.0
94,1.1880658864974976,0.7778849005699158,0.0,0.7213478088378906,0.0,0.0,1.0
95,1.219174861907959,0.7781544327735901,0.0,0.8037643432617188,0.0,0.0,1.0
96,1.2494323253631592,0.7783513069152832,0.0,0.7972507476806641,0.0,0.0,1.0
97,1.2560280561447144,0.7797589898109436,0.0,0.9163055419921875,0.0,0.0,1.0
98,1.2989774942398071,0.7797528505325317,0.0,0.7791538238525391,0.0,0.0,1.0
99,1.345083475112915,0.7798728942871094,0.0,0.7917575836181641,0.0,0.0,1.0
100,1.38673734664917,0.7801815271377563,0.0,0.8110446929931641,0.0,0.0,1.0
101,1.462393045425415,0.7793857455253601,0.0,0.6990165710449219,0.0,0.0,1.0
102,1.5113476514816284,0.7796482443809509,0.0,0.806427001953125,0.0,0.0,1.0
103,1.5725725889205933,0.7795803546905518,0.0,0.7725830078125,0.0,0.0,1.0
104,1.607623815536499,0.7803312540054321,0.0,0.8584327697753906,0.0,0.0,1.0
105,1.7625800371170044,0.7785232067108154,0.0,0.5886745452880859,0.0,0.0,1.0
106,1.8392173051834106,0.7782735228538513,0.0,0.7518062591552734,0.0,0.0,1.0
107,1.8819000720977783,0.7790143489837646,0.0,0.8582859039306641,0.0,0.0,1.0
108,1.9191495180130005,0.7798520922660828,0.0,0.8703231811523438,0.0,0.0,1.0
109,1.981977939605713,0.7802549600601196,0.0,0.8241729736328125,0.0,0.0,1.0
110,2.014498710632324,0.7811089754104614,0.0,0.8750438690185547,0.0,0.0,1.0
111,2.1506290435791016,0.7800137400627136,0.0,0.6584434509277344,0.0,0.0,1.0
112,2.2559025287628174,0.7798216938972473,0.0,0.7583103179931641,0.0,0.0,1.0
113,2.336240291595459,0.7797718644142151,0.0,0.7741413116455078,0.0,0.0,1.0
114,2.4235031604766846,0.7801917195320129,0.0,0.8280601501464844,0.0,0.0,1.0
115,2.5298359394073486,0.7801169157028198,0.0,0.7715110778808594,0.0,0.0,1.0
116,2.6920106410980225,0.7795913815498352,0.0,0.7186317443847656,0.0,0.0,1.0
117,2.7845048904418945,0.7798914313316345,0.0,0.8150005340576172,0.0,0.0,1.0
118,2.902797222137451,0.7797884345054626,0.0,0.7676315307617188,0.0,0.0,1.0
119,3.0429611206054688,0.7798041701316833,0.0,0.78167724609375,0.0,0.0,1.0
120,3.172259569168091,0.7798954248428345,0.0,0.7908477783203125,0.0,0.0,1.0
121,3.3083865642547607,0.7800406813621521,0.0,0.7976169586181641,0.0,0.0,1.0
122,3.56614351272583,0.7791338562965393,0.0,0.6685028076171875,0.0,0.0,1.0
123,3.7171084880828857,0.7793200016021729,0.0,0.8022174835205078,0.0,0.0,1.0
124,3.804300546646118,0.7801079154014587,0.0,0.8778038024902344,0.0,0.0,1.0
125,4.026186466217041,0.7799502015113831,0.0,0.7602386474609375,0.0,0.0,1.0
126,4.148611068725586,0.7804536819458008,0.0,0.8438892364501953,0.0,0.0,1.0
127,4.242608547210693,0.7813414931297302,0.0,0.8940982818603516,0.0,0.0,1.0
128,4.424035549163818,0.7818188071250916,0.0,0.8429222106933594,0.0,0.0,1.0
129,4.7997589111328125,0.7814487814903259,0.0,0.7337112426757812,0.0,0.0,1.0
130,5.039783477783203,0.7813475131988525,0.0,0.7681789398193359,0.0,0.0,1.0
131,5.356435298919678,0.7811590433120728,0.0,0.7564735412597656,0.0,0.0,1.0
132,5.457364559173584,0.782014787197113,0.0,0.8949775695800781,0.0,0.0,1.0
133,5.942547798156738,0.7811870574951172,0.0,0.6710968017578125,0.0,0.0,1.0
134,6.217304229736328,0.7812583446502686,0.0,0.7908153533935547,0.0,0.0,1.0
135,6.6337103843688965,0.7807769775390625,0.0,0.7157859802246094,0.0,0.0,1.0
136,6.816961765289307,0.781460165977478,0.0,0.8743782043457031,0.0,0.0,1.0
137,7.0967631340026855,0.7813699841499329,0.0,0.7690086364746094,0.0,0.0,1.0
